country,visa_type,processing_office,month,processing_time
USA,Student,Delhi,2,72
India,Student,Chennai,3,53
Canada,Work,Chennai,3,75
USA,Tourist,Delhi,12,23
India,Tourist,Chennai,12,20
USA,Tourist,Chennai,9,49
UK,Work,Delhi,7,53
USA,Student,Chennai,8,36
USA,Work,Delhi,11,55
India,Student,Delhi,10,19
India,Student,Mumbai,11,56
India,Work,Mumbai,9,81
USA,Student,Chennai,6,44
UK,Student,Chennai,4,71
Canada,Tourist,Delhi,12,87
Canada,Student,Chennai,1,43
India,Work,Delhi,8,51
India,Work,Delhi,7,27
USA,Student,Chennai,2,46
Canada,Tourist,Delhi,8,60
India,Tourist,Mumbai,12,37
UK,Student,Chennai,5,59
UK,Student,Mumbai,7,31
India,Work,Chennai,4,80
India,Student,Delhi,5,20
Canada,Tourist,Chennai,8,32
Canada,Student,Mumbai,1,36
USA,Work,Delhi,1,47
Canada,Work,Chennai,4,44
UK,Work,Chennai,3,46
UK,Work,Chennai,10,56
India,Work,Mumbai,12,24
Canada,Student,Mumbai,2,50
USA,Student,Chennai,12,48
UK,Student,Delhi,3,87
UK,Student,Delhi,11,42
USA,Work,Mumbai,11,25
USA,Tourist,Delhi,11,53
UK,Student,Mumbai,1,61
UK,Tourist,Chennai,1,33
USA,Student,Mumbai,6,29
UK,Student,Mumbai,5,42
India,Tourist,Chennai,8,38
India,Work,Delhi,2,86
USA,Student,Mumbai,4,23
Canada,Student,Mumbai,8,61
USA,Student,Chennai,12,47
USA,Tourist,Delhi,6,76
Canada,Work,Mumbai,1,33
Canada,Tourist,Chennai,4,81
Canada,Tourist,Mumbai,1,88
India,Work,Chennai,2,54
UK,Tourist,Delhi,5,61
India,Work,Delhi,8,79
UK,Student,Delhi,8,43
India,Work,Delhi,11,64
UK,Student,Mumbai,3,27
India,Tourist,Mumbai,11,15
Canada,Tourist,Delhi,4,48
USA,Student,Delhi,10,62
India,Tourist,Delhi,11,62
UK,Work,Mumbai,6,63
Canada,Student,Delhi,11,78
India,Tourist,Delhi,11,75
India,Student,Delhi,10,43
Canada,Work,Chennai,3,53
India,Work,Delhi,2,40
USA,Tourist,Chennai,6,31
India,Work,Chennai,11,85
USA,Student,Delhi,5,27
USA,Work,Chennai,10,83
Canada,Student,Delhi,5,40
India,Student,Mumbai,10,63
Canada,Work,Mumbai,5,81
India,Tourist,Mumbai,10,21
India,Work,Mumbai,12,72
UK,Student,Chennai,5,63
India,Student,Delhi,3,67
Canada,Work,Delhi,7,79
USA,Tourist,Delhi,6,76
India,Tourist,Mumbai,4,31
UK,Student,Mumbai,2,57
Canada,Student,Delhi,12,39
India,Tourist,Mumbai,9,17
Canada,Work,Delhi,1,43
UK,Student,Delhi,11,46
UK,Student,Delhi,4,40
Canada,Tourist,Delhi,1,30
India,Work,Delhi,6,39
USA,Tourist,Delhi,4,68
UK,Work,Delhi,5,42
India,Work,Mumbai,5,87
India,Work,Delhi,9,70
USA,Student,Delhi,1,79
UK,Tourist,Mumbai,2,55
UK,Tourist,Mumbai,6,65
India,Work,Mumbai,5,85
India,Student,Delhi,11,43
USA,Student,Chennai,7,33
USA,Tourist,Chennai,3,80
UK,Student,Mumbai,3,55
Canada,Student,Chennai,10,59
UK,Work,Mumbai,2,29
India,Student,Delhi,3,17
UK,Work,Chennai,10,25
Canada,Tourist,Delhi,1,67
USA,Student,Chennai,5,60
Canada,Tourist,Delhi,12,44
Canada,Tourist,Chennai,5,71
Canada,Student,Delhi,12,32
USA,Student,Delhi,11,65
Canada,Tourist,Chennai,7,62
Canada,Student,Delhi,4,80
Canada,Work,Delhi,3,22
India,Work,Delhi,1,36
Canada,Student,Chennai,12,20
USA,Tourist,Chennai,8,71
Canada,Student,Delhi,3,50
Canada,Student,Delhi,2,71
USA,Tourist,Chennai,11,63
Canada,Tourist,Chennai,4,59
USA,Work,Delhi,3,80
Canada,Tourist,Delhi,1,59
USA,Work,Delhi,3,34
Canada,Tourist,Mumbai,12,78
Canada,Student,Chennai,2,81
India,Work,Mumbai,8,17
India,Work,Chennai,6,68
Canada,Work,Chennai,9,78
Canada,Student,Chennai,8,54
UK,Student,Chennai,10,73
