application_id,submission_date,decision_date,applicant_country,visa_type,processing_office,submission_month,submission_year,season,processing_time_days,submission_dayofweek,is_peak_month,quarter,target_days
VISA-0000988,1663459200000000000,2022-10-20,France,Business,Chennai,9,2022,Autumn,32,6,0,Q3,32
VISA-0000989,1696032000000000000,2023-11-05,Germany,Tourist,Chennai,9,2023,Autumn,36,5,0,Q3,36
VISA-0000990,1640476800000000000,2022-03-28,Pakistan,Transit,Johannesburg,12,2021,Winter,92,6,1,Q4,92
VISA-0000991,1692921600000000000,2023-10-23,Pakistan,Student,Ottawa,8,2023,Summer,59,4,1,Q3,59
VISA-0000992,1708128000000000000,2024-03-31,Bangladesh,Tourist,Singapore,2,2024,Winter,43,5,0,Q1,43
VISA-0000993,1692403200000000000,2023-09-22,Australia,Tourist,Dubai,8,2023,Summer,34,5,1,Q3,34
VISA-0000994,1666310400000000000,2022-12-24,France,Work,Sydney,10,2022,Autumn,64,4,0,Q4,64
VISA-0000995,1761091200000000000,2025-11-06,China,Transit,Johannesburg,10,2025,Autumn,15,2,0,Q4,15
VISA-0000996,1690243200000000000,2023-08-26,Bangladesh,Transit,Berlin,7,2023,Summer,32,1,1,Q3,32
VISA-0000997,1736899200000000000,2025-02-18,Nigeria,Tourist,Unknown,1,2025,Winter,34,2,0,Q1,34
VISA-0000998,1725580800000000000,2024-10-19,France,Student,London,9,2024,Autumn,43,4,0,Q3,43
VISA-0000999,1697414400000000000,2023-11-21,Pakistan,Tourist,Berlin,10,2023,Autumn,36,0,0,Q4,36
VISA-0001000,1749168000000000000,2025-07-27,Kenya,Student,New Delhi,6,2025,Summer,51,4,1,Q2,51
VISA-0001001,1629676800000000000,2021-11-03,Philippines,Work,Mumbai,8,2021,Summer,72,0,1,Q3,72
VISA-0001002,1754611200000000000,2025-09-21,UK,Tourist,New Delhi,8,2025,Summer,44,4,1,Q3,44
VISA-0001003,1743465600000000000,2025-06-01,China,Work,Berlin,4,2025,Spring,61,1,0,Q2,61
VISA-0001004,1688860800000000000,2023-09-24,Kenya,Dependent,Ottawa,7,2023,Summer,77,6,1,Q3,77
VISA-0001005,1725062400000000000,2024-09-29,Canada,Tourist,New Delhi,8,2024,Summer,29,5,1,Q3,29
VISA-0001006,1691452800000000000,2023-10-04,Unknown,Tourist,Paris,8,2023,Summer,57,1,1,Q3,57
VISA-0001007,1651795200000000000,2022-06-13,France,Tourist,Berlin,5,2022,Spring,38,4,0,Q2,38
VISA-0001008,1735516800000000000,2025-02-09,Kenya,Tourist,Berlin,12,2024,Winter,41,0,1,Q4,41
VISA-0001009,1648166400000000000,2022-05-01,Philippines,Tourist,Mumbai,3,2022,Spring,37,4,0,Q1,37
VISA-0001010,1658966400000000000,2022-11-21,Philippines,Work,Singapore,7,2022,Summer,116,3,1,Q3,116
VISA-0001011,1691280000000000000,2023-09-29,India,Tourist,Mumbai,8,2023,Summer,54,6,1,Q3,54
VISA-0001012,1741478400000000000,2025-04-17,Kenya,Business,Dubai,3,2025,Spring,39,6,0,Q1,39
VISA-0001013,1669939200000000000,2023-01-28,India,Dependent,Dubai,12,2022,Winter,57,4,1,Q4,57
VISA-0001014,1687305600000000000,2023-08-16,India,Dependent,Chennai,6,2023,Summer,56,2,1,Q2,56
VISA-0001015,1616025600000000000,2021-05-26,Philippines,Work,Ottawa,3,2021,Spring,69,3,0,Q1,69
VISA-0001016,1627689600000000000,2021-09-16,India,Tourist,New Delhi,7,2021,Summer,47,5,1,Q3,47
VISA-0001017,1618272000000000000,2021-05-10,Canada,Tourist,Sydney,4,2021,Spring,27,1,0,Q2,27
VISA-0001018,1620777600000000000,2021-06-27,Bangladesh,Tourist,Berlin,5,2021,Spring,46,2,0,Q2,46
VISA-0001019,1746403200000000000,2025-05-17,UK,Transit,London,5,2025,Spring,12,0,0,Q2,12
VISA-0001020,1742169600000000000,2025-03-22,Unknown,Transit,Sydney,3,2025,Spring,5,0,0,Q1,5
VISA-0001021,1738972800000000000,2025-03-20,France,Student,Johannesburg,2,2025,Winter,40,5,0,Q1,40
VISA-0001022,1618185600000000000,2021-05-27,Bangladesh,Tourist,Chennai,4,2021,Spring,45,0,0,Q2,45
VISA-0001023,1621641600000000000,2021-07-17,Mexico,Student,London,5,2021,Spring,56,5,0,Q2,56
VISA-0001024,1653696000000000000,2022-07-18,Unknown,Tourist,Mumbai,5,2022,Spring,51,5,0,Q2,51
VISA-0001025,1698537600000000000,2023-11-22,Bangladesh,Unknown,Sydney,10,2023,Autumn,24,6,0,Q4,24
VISA-0001026,1662076800000000000,2022-10-08,France,Tourist,Chennai,9,2022,Autumn,36,4,0,Q3,36
VISA-0001027,1686268800000000000,2023-08-05,Canada,Student,Singapore,6,2023,Summer,57,4,1,Q2,57
VISA-0001028,1636675200000000000,2021-12-25,Mexico,Student,London,11,2021,Autumn,43,4,0,Q4,43
VISA-0001029,1724630400000000000,2024-10-07,Brazil,Tourist,Berlin,8,2024,Summer,42,0,1,Q3,42
VISA-0001030,1658880000000000000,2022-10-05,Brazil,Student,Unknown,7,2022,Summer,70,2,1,Q3,70
VISA-0001031,1619913600000000000,2021-06-11,Australia,Dependent,London,5,2021,Spring,40,6,0,Q2,40
VISA-0001032,1726531200000000000,2024-10-11,Germany,Tourist,Mumbai,9,2024,Autumn,24,1,0,Q3,24
VISA-0001033,1751760000000000000,2025-09-19,Pakistan,Work,Dubai,7,2025,Summer,75,6,1,Q3,75
VISA-0001034,1611705600000000000,2021-04-02,Pakistan,Student,New Delhi,1,2021,Winter,65,2,0,Q1,65
VISA-0001035,1678233600000000000,2023-04-10,Australia,Tourist,New Delhi,3,2023,Spring,33,2,0,Q1,33
VISA-0001036,1739836800000000000,2025-03-22,Unknown,Tourist,Sydney,2,2025,Winter,32,1,0,Q1,32
VISA-0001037,1720742400000000000,2024-08-19,Unknown,Tourist,Dubai,7,2024,Summer,38,4,1,Q3,38
VISA-0001038,1744502400000000000,2025-05-16,China,Tourist,London,4,2025,Spring,33,6,0,Q2,33
VISA-0001039,1674864000000000000,2023-03-19,Brazil,Student,Ottawa,1,2023,Winter,50,5,0,Q1,50
VISA-0001040,1668124800000000000,2022-12-23,UK,Business,Ottawa,11,2022,Autumn,42,4,0,Q4,42
VISA-0001041,1721260800000000000,2024-08-19,Philippines,Business,Paris,7,2024,Summer,32,3,1,Q3,32
VISA-0001042,1633651200000000000,2021-11-28,Nigeria,Dependent,Ottawa,10,2021,Autumn,51,4,0,Q4,51
VISA-0001043,1647129600000000000,2022-05-15,Philippines,Student,Singapore,3,2022,Spring,63,6,0,Q1,63
VISA-0001044,1704153600000000000,2024-03-06,Kenya,Work,Chennai,1,2024,Winter,64,1,0,Q1,64
VISA-0001045,1714780800000000000,2024-06-20,Kenya,Work,Chennai,5,2024,Spring,47,5,0,Q2,47
VISA-0001046,1628294400000000000,2021-09-20,Canada,Tourist,Ottawa,8,2021,Summer,44,5,1,Q3,44
VISA-0001047,1689552000000000000,2023-08-31,China,Tourist,New Delhi,7,2023,Summer,45,0,1,Q3,45
VISA-0001048,1666915200000000000,2022-12-17,Mexico,Student,Berlin,10,2022,Autumn,50,4,0,Q4,50
VISA-0001049,1688515200000000000,2023-08-05,France,Business,Ottawa,7,2023,Summer,31,2,1,Q3,31
VISA-0001050,1760572800000000000,2025-11-30,Philippines,Student,Ottawa,10,2025,Autumn,45,3,0,Q4,45
VISA-0001051,1621468800000000000,2021-06-26,Australia,Tourist,Sydney,5,2021,Spring,37,3,0,Q2,37
VISA-0001052,1766361600000000000,2026-01-15,UK,Transit,New Delhi,12,2025,Winter,24,0,1,Q4,24
VISA-0001053,1680307200000000000,2023-05-08,Pakistan,Tourist,Ottawa,4,2023,Spring,37,5,0,Q2,37
VISA-0001054,1731196800000000000,2024-11-25,Mexico,Transit,Johannesburg,11,2024,Autumn,15,6,0,Q4,15
VISA-0001055,1676332800000000000,2023-05-07,Unknown,Business,Dubai,2,2023,Winter,82,1,0,Q1,82
VISA-0001056,1658448000000000000,2022-09-22,Canada,Dependent,Dubai,7,2022,Summer,62,4,1,Q3,62
VISA-0001057,1730937600000000000,2024-12-13,Pakistan,Business,Sydney,11,2024,Autumn,36,3,0,Q4,36
VISA-0001058,1717804800000000000,2024-07-18,Mexico,Tourist,Sydney,6,2024,Summer,40,5,1,Q2,40
VISA-0001059,1632096000000000000,2021-11-23,Brazil,Work,Johannesburg,9,2021,Autumn,64,0,0,Q3,64
VISA-0001060,1720656000000000000,2024-08-24,India,Business,Johannesburg,7,2024,Summer,44,3,1,Q3,44
VISA-0001061,1728172800000000000,2024-11-02,France,Business,Ottawa,10,2024,Autumn,27,6,0,Q4,27
VISA-0001062,1670544000000000000,2023-02-06,Kenya,Tourist,Johannesburg,12,2022,Winter,59,4,1,Q4,59
VISA-0001063,1755388800000000000,2025-09-18,Philippines,Tourist,New Delhi,8,2025,Summer,32,6,1,Q3,32
VISA-0001064,1710460800000000000,2024-04-16,Pakistan,Tourist,London,3,2024,Spring,32,4,0,Q1,32
VISA-0001065,1661990400000000000,2022-10-14,Australia,Student,London,9,2022,Autumn,43,3,0,Q3,43
VISA-0001066,1611100800000000000,2021-03-27,Pakistan,Work,Berlin,1,2021,Winter,66,2,0,Q1,66
VISA-0001067,1715817600000000000,2024-07-12,Bangladesh,Dependent,Dubai,5,2024,Spring,57,3,0,Q2,57
VISA-0001068,1642377600000000000,2022-02-28,Nigeria,Business,Sydney,1,2022,Winter,42,0,0,Q1,42
VISA-0001069,1728691200000000000,2024-12-13,Pakistan,Work,Chennai,10,2024,Autumn,62,5,0,Q4,62
VISA-0001070,1692230400000000000,2023-09-11,Pakistan,Tourist,Sydney,8,2023,Summer,25,3,1,Q3,25
VISA-0001071,1682985600000000000,2023-07-01,UK,Student,Chennai,5,2023,Spring,60,1,0,Q2,60
VISA-0001072,1635206400000000000,2021-12-03,Bangladesh,Tourist,Sydney,10,2021,Autumn,38,1,0,Q4,38
VISA-0001073,1721606400000000000,2024-09-02,Pakistan,Tourist,London,7,2024,Summer,42,0,1,Q3,42
VISA-0001074,1635552000000000000,2021-11-22,China,Tourist,Singapore,10,2021,Autumn,23,5,0,Q4,23
VISA-0001075,1675296000000000000,2023-02-23,Australia,Tourist,Paris,2,2023,Winter,21,3,0,Q1,21
VISA-0001076,1741305600000000000,2025-03-26,Australia,Tourist,Mumbai,3,2025,Spring,19,4,0,Q1,19
VISA-0001077,1754524800000000000,2025-10-08,Canada,Work,Johannesburg,8,2025,Summer,62,3,1,Q3,62
VISA-0001078,1765411200000000000,2026-01-20,Brazil,Tourist,Berlin,12,2025,Winter,40,3,1,Q4,40
VISA-0001079,1760486400000000000,2025-11-15,Kenya,Tourist,London,10,2025,Autumn,31,2,0,Q4,31
VISA-0001080,1697068800000000000,2023-10-31,Brazil,Tourist,Sydney,10,2023,Autumn,19,3,0,Q4,19
VISA-0001081,1640995200000000000,2022-03-08,France,Work,Chennai,1,2022,Winter,66,5,0,Q1,66
VISA-0001082,1741737600000000000,2025-05-07,France,Work,New Delhi,3,2025,Spring,56,2,0,Q1,56
VISA-0001083,1735776000000000000,2025-03-09,Australia,Tourist,Ottawa,1,2025,Winter,66,3,0,Q1,66
VISA-0001084,1712016000000000000,2024-05-03,India,Tourist,Paris,4,2024,Spring,31,1,0,Q2,31
VISA-0001085,1631750400000000000,2021-10-19,Philippines,Transit,London,9,2021,Autumn,33,3,0,Q3,33
VISA-0001086,1688688000000000000,2023-09-05,Pakistan,Work,Ottawa,7,2023,Summer,60,4,1,Q3,60
VISA-0001087,1680134400000000000,2023-05-26,France,Work,Johannesburg,3,2023,Spring,57,3,0,Q1,57
VISA-0001088,1742342400000000000,2025-05-07,Mexico,Student,Johannesburg,3,2025,Spring,49,2,0,Q1,49
VISA-0001089,1671321600000000000,2023-02-01,Unknown,Business,Sydney,12,2022,Winter,45,6,1,Q4,45
VISA-0001090,1661212800000000000,2022-10-17,Canada,Dependent,New Delhi,8,2022,Summer,55,1,1,Q3,55
VISA-0001091,1622073600000000000,2021-07-05,Germany,Student,Berlin,5,2021,Spring,39,3,0,Q2,39
VISA-0001092,1741132800000000000,2025-05-04,Kenya,Work,Berlin,3,2025,Spring,60,2,0,Q1,60
VISA-0001093,1728518400000000000,2024-11-10,China,Tourist,Johannesburg,10,2024,Autumn,31,3,0,Q4,31
VISA-0001094,1615939200000000000,2021-05-11,Mexico,Work,Johannesburg,3,2021,Spring,55,2,0,Q1,55
VISA-0001095,1677801600000000000,2023-04-23,Brazil,Student,Dubai,3,2023,Spring,51,4,0,Q1,51
VISA-0001096,1685059200000000000,2023-06-17,Australia,Tourist,Mumbai,5,2023,Spring,22,4,0,Q2,22
VISA-0001097,1683417600000000000,2023-05-27,Philippines,Transit,Chennai,5,2023,Spring,20,6,0,Q2,20
VISA-0001098,1754352000000000000,2025-09-15,Mexico,Dependent,Berlin,8,2025,Summer,41,1,1,Q3,41
VISA-0001099,1633132800000000000,2021-11-06,Brazil,Tourist,Dubai,10,2021,Autumn,35,5,0,Q4,35
VISA-0001100,1657756800000000000,2022-08-22,Bangladesh,Transit,Ottawa,7,2022,Summer,39,3,1,Q3,39
VISA-0001101,1637971200000000000,2022-01-08,Nigeria,Tourist,Ottawa,11,2021,Autumn,42,5,0,Q4,42
VISA-0001102,1647907200000000000,2022-05-03,China,Student,Berlin,3,2022,Spring,42,1,0,Q1,42
VISA-0001103,1752451200000000000,2025-08-25,France,Dependent,Ottawa,7,2025,Summer,42,0,1,Q3,42
VISA-0001104,1757721600000000000,2025-10-08,Nigeria,Tourist,Mumbai,9,2025,Autumn,25,5,0,Q3,25
VISA-0001105,1616457600000000000,2021-05-29,Mexico,Student,Johannesburg,3,2021,Spring,67,1,0,Q1,67
VISA-0001106,1709078400000000000,2024-04-15,Germany,Work,London,2,2024,Winter,47,2,0,Q1,47
VISA-0001107,1646092800000000000,2022-04-05,Germany,Tourist,London,3,2022,Spring,35,1,0,Q1,35
VISA-0001108,1639785600000000000,2022-02-14,Canada,Student,New Delhi,12,2021,Winter,58,5,1,Q4,58
VISA-0001109,1655510400000000000,2022-08-01,China,Tourist,Sydney,6,2022,Summer,44,5,1,Q2,44
VISA-0001110,1640044800000000000,2022-03-02,India,Work,Johannesburg,12,2021,Winter,71,1,1,Q4,71
VISA-0001111,1686700800000000000,2023-07-20,Germany,Tourist,Mumbai,6,2023,Summer,36,2,1,Q2,36
VISA-0001112,1766361600000000000,2026-02-04,Bangladesh,Tourist,Unknown,12,2025,Winter,44,0,1,Q4,44
VISA-0001113,1701907200000000000,2024-01-22,France,Business,Mumbai,12,2023,Winter,46,3,1,Q4,46
VISA-0001114,1723420800000000000,2024-09-23,Bangladesh,Tourist,Mumbai,8,2024,Summer,42,0,1,Q3,42
VISA-0001115,1687219200000000000,2023-08-18,Nigeria,Student,Dubai,6,2023,Summer,59,1,1,Q2,59
VISA-0001116,1611619200000000000,2021-03-20,Bangladesh,Business,London,1,2021,Winter,53,1,0,Q1,53
VISA-0001117,1622678400000000000,2021-07-10,Germany,Business,Paris,6,2021,Summer,37,3,1,Q2,37
VISA-0001118,1651795200000000000,2022-06-12,Nigeria,Tourist,Ottawa,5,2022,Spring,37,4,0,Q2,37
VISA-0001119,1647820800000000000,2022-04-23,Australia,Dependent,Berlin,3,2022,Spring,33,0,0,Q1,33
VISA-0001120,1741996800000000000,2025-04-17,Australia,Business,New Delhi,3,2025,Spring,33,5,0,Q1,33
VISA-0001121,1742428800000000000,2025-04-19,France,Tourist,London,3,2025,Spring,30,3,0,Q1,30
VISA-0001122,1744070400000000000,2025-05-10,Kenya,Business,Ottawa,4,2025,Spring,32,1,0,Q2,32
VISA-0001123,1709942400000000000,2024-04-18,Nigeria,Business,New Delhi,3,2024,Spring,40,5,0,Q1,40
VISA-0001124,1697155200000000000,2023-12-09,China,Work,Ottawa,10,2023,Autumn,57,4,0,Q4,57
VISA-0001125,1711756800000000000,2024-05-30,Philippines,Work,Sydney,3,2024,Spring,61,5,0,Q1,61
VISA-0001126,1673568000000000000,2023-02-23,Germany,Business,Ottawa,1,2023,Winter,41,4,0,Q1,41
VISA-0001127,1715126400000000000,2024-05-19,Germany,Transit,Sydney,5,2024,Spring,11,2,0,Q2,11
VISA-0001128,1734652800000000000,2025-02-27,Nigeria,Work,Paris,12,2024,Winter,69,4,1,Q4,69
VISA-0001129,1729728000000000000,2024-11-24,Brazil,Business,Paris,10,2024,Autumn,31,3,0,Q4,31
VISA-0001130,1706227200000000000,2024-03-05,Philippines,Business,New Delhi,1,2024,Winter,39,4,0,Q1,39
VISA-0001131,1618617600000000000,2021-05-30,France,Unknown,Unknown,4,2021,Spring,43,5,0,Q2,43
VISA-0001132,1723766400000000000,2024-09-06,India,Transit,Singapore,8,2024,Summer,21,4,1,Q3,21
VISA-0001133,1667260800000000000,2022-11-26,Brazil,Tourist,Singapore,11,2022,Autumn,25,1,0,Q4,25
VISA-0001134,1726704000000000000,2024-10-22,Mexico,Tourist,London,9,2024,Autumn,33,3,0,Q3,33
VISA-0001135,1694476800000000000,2023-11-08,France,Work,Paris,9,2023,Autumn,57,1,0,Q3,57
VISA-0001136,1748390400000000000,2025-07-13,Philippines,Student,Paris,5,2025,Spring,46,2,0,Q2,46
VISA-0001137,1662768000000000000,2022-11-06,China,Work,Ottawa,9,2022,Autumn,57,5,0,Q3,57
VISA-0001138,1756252800000000000,2025-09-29,Mexico,Business,Singapore,8,2025,Summer,33,2,1,Q3,33
VISA-0001139,1742601600000000000,2025-05-02,India,Dependent,Dubai,3,2025,Spring,41,5,0,Q1,41
VISA-0001140,1661644800000000000,2022-11-02,Philippines,Student,Paris,8,2022,Summer,66,6,1,Q3,66
VISA-0001141,1685491200000000000,2023-07-06,Kenya,Business,Paris,5,2023,Spring,36,2,0,Q2,36
VISA-0001142,1693180800000000000,2023-10-11,Pakistan,Tourist,Paris,8,2023,Summer,44,0,1,Q3,44
VISA-0001143,1730592000000000000,2024-12-17,Australia,Student,Johannesburg,11,2024,Autumn,44,6,0,Q4,44
VISA-0001144,1718064000000000000,2024-07-03,Germany,Tourist,Singapore,6,2024,Summer,22,1,1,Q2,22
VISA-0001145,1743724800000000000,2025-05-16,Australia,Student,Ottawa,4,2025,Spring,42,4,0,Q2,42
VISA-0001146,1667779200000000000,2022-12-18,Brazil,Student,Dubai,11,2022,Autumn,41,0,0,Q4,41
VISA-0001147,1689033600000000000,2023-08-29,Kenya,Business,Berlin,7,2023,Summer,49,1,1,Q3,49
VISA-0001148,1677369600000000000,2023-04-19,Mexico,Work,Singapore,2,2023,Winter,52,6,0,Q1,52
VISA-0001149,1752796800000000000,2025-09-13,Philippines,Student,Ottawa,7,2025,Summer,57,4,1,Q3,57
VISA-0001150,1657497600000000000,2022-08-19,UK,Tourist,London,7,2022,Summer,39,0,1,Q3,39
VISA-0001151,1701993600000000000,2024-01-14,Brazil,Tourist,Paris,12,2023,Winter,37,4,1,Q4,37
VISA-0001152,1628380800000000000,2021-09-03,Mexico,Transit,Johannesburg,8,2021,Summer,26,6,1,Q3,26
VISA-0001153,1743465600000000000,2025-05-15,China,Dependent,Johannesburg,4,2025,Spring,44,1,0,Q2,44
VISA-0001154,1670025600000000000,2023-03-08,India,Tourist,Mumbai,12,2022,Winter,95,5,1,Q4,95
VISA-0001155,1663113600000000000,2022-11-06,Pakistan,Tourist,Johannesburg,9,2022,Autumn,53,2,0,Q3,53
VISA-0001156,1701302400000000000,2024-01-29,Kenya,Student,Paris,11,2023,Autumn,60,3,0,Q4,60
VISA-0001157,1688083200000000000,2023-09-03,Mexico,Work,Mumbai,6,2023,Summer,65,4,1,Q2,65
VISA-0001158,1743120000000000000,2025-05-16,Philippines,Student,New Delhi,3,2025,Spring,49,4,0,Q1,49
VISA-0001159,1693180800000000000,2023-10-04,Kenya,Tourist,Chennai,8,2023,Summer,37,0,1,Q3,37
VISA-0001160,1690934400000000000,2023-10-01,Germany,Student,Johannesburg,8,2023,Summer,60,2,1,Q3,60
VISA-0001161,1625961600000000000,2021-09-02,India,Tourist,Paris,7,2021,Summer,53,6,1,Q3,53
VISA-0001162,1612915200000000000,2021-04-03,Pakistan,Tourist,Dubai,2,2021,Winter,52,2,0,Q1,52
VISA-0001163,1672272000000000000,2023-02-07,Unknown,Tourist,Dubai,12,2022,Winter,40,3,1,Q4,40
VISA-0001164,1766793600000000000,2026-03-04,Mexico,Work,Ottawa,12,2025,Winter,67,5,1,Q4,67
VISA-0001165,1754092800000000000,2025-09-13,Mexico,Student,Singapore,8,2025,Summer,42,5,1,Q3,42
VISA-0001166,1708560000000000000,2024-04-02,Bangladesh,Tourist,Mumbai,2,2024,Winter,40,3,0,Q1,40
VISA-0001167,1708905600000000000,2024-04-25,Canada,Work,London,2,2024,Winter,59,0,0,Q1,59
VISA-0001168,1671148800000000000,2023-02-27,Mexico,Student,Chennai,12,2022,Winter,73,4,1,Q4,73
VISA-0001169,1637366400000000000,2021-12-21,Mexico,Business,Singapore,11,2021,Autumn,31,5,0,Q4,31
VISA-0001170,1610755200000000000,2021-02-15,Brazil,Transit,Sydney,1,2021,Winter,30,5,0,Q1,30
VISA-0001171,1662854400000000000,2022-12-03,UK,Tourist,Berlin,9,2022,Autumn,83,6,0,Q3,83
VISA-0001172,1659312000000000000,2022-10-26,Nigeria,Dependent,Johannesburg,8,2022,Summer,86,0,1,Q3,86
VISA-0001173,1639612800000000000,2022-03-05,Brazil,Work,Chennai,12,2021,Winter,79,3,1,Q4,79
VISA-0001174,1650240000000000000,2022-06-25,Pakistan,Work,Johannesburg,4,2022,Spring,68,0,0,Q2,68
VISA-0001175,1613347200000000000,2021-04-21,Bangladesh,Student,Mumbai,2,2021,Winter,65,0,0,Q1,65
VISA-0001176,1705276800000000000,2024-02-10,India,Tourist,Paris,1,2024,Winter,26,0,0,Q1,26
VISA-0001177,1755648000000000000,2025-09-11,Australia,Tourist,Berlin,8,2025,Summer,22,2,1,Q3,22
VISA-0001178,1718323200000000000,2024-06-19,Australia,Transit,Singapore,6,2024,Summer,5,4,1,Q2,5
VISA-0001179,1680048000000000000,2023-06-12,Bangladesh,Work,Mumbai,3,2023,Spring,75,2,0,Q1,75
VISA-0001180,1675641600000000000,2023-04-08,Bangladesh,Student,Johannesburg,2,2023,Winter,61,0,0,Q1,61
VISA-0001181,1657929600000000000,2022-09-16,UK,Student,Paris,7,2022,Summer,62,5,1,Q3,62
VISA-0001182,1631836800000000000,2021-11-05,Philippines,Tourist,Mumbai,9,2021,Autumn,49,4,0,Q3,49
VISA-0001183,1703808000000000000,2024-02-11,Nigeria,Unknown,Dubai,12,2023,Winter,44,4,1,Q4,44
VISA-0001184,1698710400000000000,2023-12-27,Brazil,Work,Unknown,10,2023,Autumn,57,1,0,Q4,57
VISA-0001185,1610582400000000000,2021-03-17,Canada,Student,Sydney,1,2021,Winter,62,3,0,Q1,62
VISA-0001186,1674950400000000000,2023-03-18,France,Business,Ottawa,1,2023,Winter,48,6,0,Q1,48
VISA-0001187,1653264000000000000,2022-08-01,Brazil,Work,London,5,2022,Spring,70,0,0,Q2,70
VISA-0001188,1636243200000000000,2022-01-17,Mexico,Work,Sydney,11,2021,Autumn,71,6,0,Q4,71
VISA-0001189,1720310400000000000,2024-08-21,Kenya,Business,Johannesburg,7,2024,Summer,45,6,1,Q3,45
VISA-0001190,1692316800000000000,2023-11-04,Pakistan,Tourist,Dubai,8,2023,Summer,78,4,1,Q3,78
VISA-0001191,1709337600000000000,2024-05-01,Bangladesh,Work,Berlin,3,2024,Spring,60,5,0,Q1,60
VISA-0001192,1721952000000000000,2024-09-04,Mexico,Business,Paris,7,2024,Summer,40,4,1,Q3,40
VISA-0001193,1764201600000000000,2025-12-31,Mexico,Tourist,Paris,11,2025,Autumn,34,3,0,Q4,34
VISA-0001194,1736035200000000000,2025-01-28,Germany,Tourist,Ottawa,1,2025,Winter,23,6,0,Q1,23
VISA-0001195,1707264000000000000,2024-03-17,Philippines,Tourist,Paris,2,2024,Winter,39,2,0,Q1,39
VISA-0001196,1748044800000000000,2025-06-12,Canada,Tourist,London,5,2025,Spring,19,5,0,Q2,19
VISA-0001197,1684713600000000000,2023-08-12,France,Student,Dubai,5,2023,Spring,82,0,0,Q2,82
VISA-0001198,1764720000000000000,2026-01-03,Nigeria,Tourist,London,12,2025,Winter,31,2,1,Q4,31
VISA-0001199,1729468800000000000,2024-12-21,UK,Work,Johannesburg,10,2024,Autumn,61,0,0,Q4,61
VISA-0001200,1712016000000000000,2024-05-07,Brazil,Tourist,Paris,4,2024,Spring,35,1,0,Q2,35
VISA-0001201,1751846400000000000,2025-08-12,Pakistan,Tourist,Dubai,7,2025,Summer,36,0,1,Q3,36
VISA-0001202,1690675200000000000,2023-09-12,Germany,Tourist,Ottawa,7,2023,Summer,44,6,1,Q3,44
VISA-0001203,1723075200000000000,2024-08-28,Australia,Tourist,Sydney,8,2024,Summer,20,3,1,Q3,20
VISA-0001204,1654300800000000000,2022-06-25,Canada,Transit,Paris,6,2022,Summer,21,5,1,Q2,21
VISA-0001205,1761264000000000000,2025-11-15,UK,Tourist,London,10,2025,Autumn,22,4,0,Q4,22
VISA-0001206,1707696000000000000,2024-03-13,Australia,Tourist,Singapore,2,2024,Winter,30,0,0,Q1,30
VISA-0001207,1732752000000000000,2025-01-13,Bangladesh,Tourist,London,11,2024,Autumn,46,3,0,Q4,46
VISA-0001208,1682035200000000000,2023-06-05,Canada,Student,Mumbai,4,2023,Spring,45,4,0,Q2,45
VISA-0001209,1746057600000000000,2025-06-21,Canada,Work,Paris,5,2025,Spring,51,3,0,Q2,51
VISA-0001210,1621123200000000000,2021-06-24,Canada,Business,Berlin,5,2021,Spring,39,6,0,Q2,39
VISA-0001211,1627430400000000000,2021-09-22,China,Student,London,7,2021,Summer,56,2,1,Q3,56
VISA-0001212,1689379200000000000,2023-09-08,Germany,Work,Berlin,7,2023,Summer,55,5,1,Q3,55
VISA-0001213,1724889600000000000,2024-10-18,Kenya,Student,Paris,8,2024,Summer,50,3,1,Q3,50
VISA-0001214,1736985600000000000,2025-02-28,Pakistan,Dependent,Paris,1,2025,Winter,43,3,0,Q1,43
VISA-0001215,1678838400000000000,2023-05-20,Bangladesh,Work,Johannesburg,3,2023,Spring,66,2,0,Q1,66
VISA-0001216,1711843200000000000,2024-04-19,Germany,Tourist,Singapore,3,2024,Spring,19,6,0,Q1,19
VISA-0001217,1696636800000000000,2023-12-09,Nigeria,Work,Unknown,10,2023,Autumn,63,5,0,Q4,63
VISA-0001218,1761004800000000000,2025-11-30,Philippines,Business,Chennai,10,2025,Autumn,40,1,0,Q4,40
VISA-0001219,1712534400000000000,2024-06-08,Bangladesh,Student,Mumbai,4,2024,Spring,61,0,0,Q2,61
VISA-0001220,1675123200000000000,2023-02-22,Brazil,Transit,Dubai,1,2023,Winter,22,1,0,Q1,22
VISA-0001221,1762300800000000000,2025-12-20,India,Dependent,Berlin,11,2025,Autumn,45,2,0,Q4,45
VISA-0001222,1626307200000000000,2021-08-28,Pakistan,Tourist,Berlin,7,2021,Summer,44,3,1,Q3,44
VISA-0001223,1764633600000000000,2026-01-19,France,Business,New Delhi,12,2025,Winter,48,1,1,Q4,48
VISA-0001224,1633737600000000000,2021-12-03,China,Work,Berlin,10,2021,Autumn,55,5,0,Q4,55
VISA-0001225,1654905600000000000,2022-08-22,Mexico,Student,Paris,6,2022,Summer,72,5,1,Q2,72
VISA-0001226,1738972800000000000,2025-04-01,Mexico,Student,Berlin,2,2025,Winter,52,5,0,Q1,52
VISA-0001227,1725148800000000000,2024-10-08,France,Dependent,Sydney,9,2024,Autumn,37,6,0,Q3,37
VISA-0001228,1762387200000000000,2026-01-30,Pakistan,Work,New Delhi,11,2025,Autumn,85,3,0,Q4,85
