case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position,processing_time,season
C,2022-12-03,2022-12-17,CALIFORNIA SERVICE CENTER,SOUTH KOREA,39.0,BACHELOR'S,"SOFTWARE ENGINEER, GATEWAY",IT,81390.0,MEDIUM,Y,14,Winter
C,2022-05-11,2022-05-25,NEBRASKA SERVICE CENTER,INDIA,58.0,MASTER'S,INDUSTRIAL ENGINEER,IT,61500.0,MEDIUM,Y,14,Spring
CW,2022-08-24,2022-10-18,NEBRASKA SERVICE CENTER,INDIA,45.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,55,Summer
CW,2022-07-17,2022-09-01,CALIFORNIA SERVICE CENTER,INDIA,40.0,BACHELOR'S,SENIOR CONSULTANT,OTHER,58989.0,LOW,Y,46,Summer
C,2022-06-23,2022-07-08,VERMONT SERVICE CENTER,CHINA,32.0,MASTER'S,STAFF CONSULTANT,ENGINEERING,67496.0,MEDIUM,Y,15,Summer
C,2022-07-10,2022-09-03,NEBRASKA SERVICE CENTER,CHINA,48.0,MASTER'S,COMPUTER PROGRAMMER,ENGINEERING,67496.0,MEDIUM,Y,55,Summer
C,2022-05-05,2022-05-17,VERMONT SERVICE CENTER,INDIA,41.0,BACHELOR'S,STAFF CONSULTANT,FINANCE,67496.0,MEDIUM,Y,12,Spring
C,2022-03-07,2022-03-25,POTOMAC SERVICE CENTER,INDIA,42.0,BACHELOR'S,PROGRAM MANAGER,IT,96741.0,MEDIUM,Y,18,Spring
CW,2022-12-14,2023-01-11,POTOMAC SERVICE CENTER,INDIA,51.0,MASTER'S,PROGRAMMER ANALYST,IT,89378.0,MEDIUM,Y,28,Winter
CW,2022-08-14,2022-10-02,VERMONT SERVICE CENTER,INDIA,43.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,N,49,Summer
CW,2022-11-12,2022-11-29,POTOMAC SERVICE CENTER,INDIA,44.0,MASTER'S,STAFF CONSULTANT,ENGINEERING,63710.0,MEDIUM,Y,17,Fall
CW,2022-02-16,2022-04-17,POTOMAC SERVICE CENTER,INDIA,23.0,MASTER'S,PRACTICE MANAGER,IT,58926.0,LOW,Y,60,Winter
C,2022-02-08,2022-02-22,POTOMAC SERVICE CENTER,CHINA,32.0,MASTER'S,DATABASE ARCHITECT,IT,56472.0,LOW,Y,14,Winter
C,2022-10-08,2022-10-21,TEXAS SERVICE CENTER,PHILIPPINES,25.0,BACHELOR'S,PRACTICE MANAGER,IT,79186.0,MEDIUM,Y,13,Fall
C,2022-04-09,2022-05-04,CALIFORNIA SERVICE CENTER,INDIA,41.0,BACHELOR'S,SENIOR SOFTWARE ENGINEER,IT,88067.0,MEDIUM,Y,25,Spring
CW,2022-10-29,2022-12-28,TEXAS SERVICE CENTER,INDIA,31.0,BACHELOR'S,SR. CONSULTANT,IT,58989.0,LOW,Y,60,Fall
C,2022-05-17,2022-06-07,POTOMAC SERVICE CENTER,INDIA,35.0,MASTER'S,PRACTICE MANAGER,IT,79186.0,MEDIUM,Y,21,Spring
C,2022-06-06,2022-06-27,CALIFORNIA SERVICE CENTER,INDIA,42.0,MASTER'S,SR. CONSULTANT,IT,55182.0,LOW,N,21,Summer
CW,2022-06-26,2022-08-18,NEBRASKA SERVICE CENTER,INDIA,49.0,BACHELOR'S,PRACTICE MANAGER,IT,122491.0,HIGH,Y,53,Summer
C,2022-01-31,2022-03-07,NEBRASKA SERVICE CENTER,SOUTH KOREA,47.0,BACHELOR'S,DATABASE ARCHITECT,ENGINEERING,56472.0,LOW,Y,35,Winter
C,2022-10-30,2022-11-26,TEXAS SERVICE CENTER,INDIA,43.0,MASTER'S,SOFTWARE QUALITY ASSURANCE ENGINEER,FINANCE,56472.0,LOW,Y,27,Fall
C,2022-09-14,2022-11-01,TEXAS SERVICE CENTER,CANADA,58.0,MASTER'S,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",OTHER,88067.0,MEDIUM,Y,48,Fall
C,2022-06-15,2022-08-06,POTOMAC SERVICE CENTER,CHINA,24.0,MASTER'S,LEAD ANALYST,IT,78603.0,MEDIUM,Y,52,Summer
CW,2022-06-18,2022-08-14,VERMONT SERVICE CENTER,INDIA,38.0,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,58989.0,LOW,Y,57,Summer
C,2022-10-14,2022-11-23,NEBRASKA SERVICE CENTER,CANADA,32.0,MASTER'S,SENIOR CONSULTANT,IT,55182.0,LOW,Y,40,Fall
C,2022-06-08,2022-08-05,TEXAS SERVICE CENTER,INDIA,52.0,MASTER'S,STAFF CONSULTANT,IT,67496.0,MEDIUM,Y,58,Summer
C,2022-08-04,2022-09-18,POTOMAC SERVICE CENTER,INDIA,56.0,BACHELOR'S,PRINCIPAL SOFTWARE ENGR (MEMBER OF TECH STAFF),MEDICAL,114774.0,HIGH,Y,45,Summer
C,2022-03-26,2022-05-07,NEBRASKA SERVICE CENTER,INDIA,25.0,BACHELOR'S,COMPUTER PROGRAMMER,IT,67496.0,MEDIUM,N,42,Spring
C,2022-01-17,2022-02-16,VERMONT SERVICE CENTER,INDIA,35.0,BACHELOR'S,TEST ENGINEER,IT,56472.0,LOW,Y,30,Winter
CW,2022-04-15,2022-05-20,TEXAS SERVICE CENTER,CHINA,45.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,35,Spring
C,2022-07-14,2022-09-10,CALIFORNIA SERVICE CENTER,MEXICO,42.0,BACHELOR'S,"SOFTWARE DEVELOPERS, APPLICATIONS",ENGINEERING,68390.0,MEDIUM,Y,58,Summer
CW,2022-03-15,2022-05-04,TEXAS SERVICE CENTER,CANADA,48.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,50,Spring
C,2022-03-10,2022-03-24,NEBRASKA SERVICE CENTER,CHINA,48.0,BACHELOR'S,SOLUTIONS ARCHITECT,ENGINEERING,98093.0,MEDIUM,Y,14,Spring
C,2022-01-30,2022-03-17,VERMONT SERVICE CENTER,INDIA,42.0,BACHELOR'S,STAFF CONSULTANT,IT,67496.0,MEDIUM,Y,46,Winter
CW,2022-10-12,2022-11-14,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,SENIOR CONSULTANT,OTHER,68390.0,MEDIUM,Y,33,Fall
CW,2022-01-20,2022-03-05,POTOMAC SERVICE CENTER,INDIA,25.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,44,Winter
C,2022-10-03,2022-10-24,TEXAS SERVICE CENTER,INDIA,23.0,MASTER'S,PRODUCT APPLICATIONS ENGINEER,FINANCE,95826.0,MEDIUM,Y,21,Fall
D,2022-09-09,2022-11-07,POTOMAC SERVICE CENTER,INDIA,55.0,MASTER'S,STAFF CONSULTANT,ENGINEERING,78603.0,MEDIUM,Y,59,Fall
CW,2022-11-01,2022-11-17,VERMONT SERVICE CENTER,INDIA,56.0,MASTER'S,SR. CONSULTANT,FINANCE,78603.0,MEDIUM,Y,16,Fall
C,2022-01-20,2022-03-19,POTOMAC SERVICE CENTER,PHILIPPINES,57.0,MASTER'S,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",EDUCATION,68390.0,MEDIUM,Y,58,Winter
W,2022-10-22,2022-11-27,NEBRASKA SERVICE CENTER,INDIA,38.0,MASTER'S,PRACTICE MANAGER,IT,122491.0,HIGH,Y,36,Fall
CW,2022-07-17,2022-09-12,VERMONT SERVICE CENTER,INDIA,29.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,57,Summer
C,2022-04-28,2022-05-22,POTOMAC SERVICE CENTER,INDIA,30.0,BACHELOR'S,BUSINESS SYSTEMS ANALYST,IT,79186.0,MEDIUM,Y,24,Spring
C,2022-11-03,2022-11-30,VERMONT SERVICE CENTER,INDIA,23.0,BACHELOR'S,SENIOR CONSULTANT,IT,55182.0,LOW,Y,27,Fall
C,2022-12-23,2023-01-23,CALIFORNIA SERVICE CENTER,INDIA,37.0,MASTER'S,TECHNICAL MANAGER,IT,68390.0,MEDIUM,Y,31,Winter
CW,2022-08-24,2022-09-08,TEXAS SERVICE CENTER,INDIA,37.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,15,Summer
C,2022-04-26,2022-05-25,TEXAS SERVICE CENTER,CANADA,55.0,MASTER'S,QUALITY ENGINEER,FINANCE,85426.0,MEDIUM,Y,29,Spring
C,2022-09-22,2022-11-08,VERMONT SERVICE CENTER,INDIA,42.0,BACHELOR'S,PRINCIPAL CONSULTANT,ENGINEERING,79186.0,MEDIUM,Y,47,Fall
CW,2022-01-06,2022-02-22,CALIFORNIA SERVICE CENTER,INDIA,44.0,MASTER'S,STAFF CONSULTANT,FINANCE,58989.0,LOW,N,47,Winter
C,2022-03-25,2022-05-15,NEBRASKA SERVICE CENTER,CANADA,37.0,MASTER'S,STAFF CONSULTANT,FINANCE,63710.0,MEDIUM,Y,51,Spring
C,2022-09-25,2022-11-05,POTOMAC SERVICE CENTER,INDIA,24.0,MASTER'S,PRACTICE MANAGER,IT,96741.0,MEDIUM,Y,41,Fall
CW,2022-11-26,2022-12-25,NEBRASKA SERVICE CENTER,INDIA,41.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,29,Fall
CW,2022-02-22,2022-04-18,POTOMAC SERVICE CENTER,INDIA,42.0,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,58989.0,LOW,Y,55,Winter
CW,2022-01-15,2022-03-14,NEBRASKA SERVICE CENTER,INDIA,57.0,MASTER'S,STAFF CONSULTANT,MEDICAL,58989.0,LOW,Y,58,Winter
C,2022-12-28,2023-02-03,NEBRASKA SERVICE CENTER,CANADA,37.0,MASTER'S,STAFF CONSULTANT,IT,67496.0,MEDIUM,Y,37,Winter
CW,2022-01-21,2022-03-10,POTOMAC SERVICE CENTER,INDIA,35.0,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,58989.0,LOW,Y,48,Winter
C,2022-06-30,2022-07-12,NEBRASKA SERVICE CENTER,INDIA,50.0,BACHELOR'S,INTEGRATION TEST ENGINEER,IT,75650.0,MEDIUM,Y,12,Summer
C,2022-08-24,2022-10-10,TEXAS SERVICE CENTER,INDIA,57.0,MASTER'S,PRINCIPAL CONSULTANT,FINANCE,68390.0,MEDIUM,Y,47,Summer
C,2022-06-29,2022-08-07,TEXAS SERVICE CENTER,INDIA,43.0,MASTER'S,IT CONSULTANT,IT,68390.0,MEDIUM,Y,39,Summer
C,2022-04-07,2022-05-30,TEXAS SERVICE CENTER,INDIA,53.0,MASTER'S,DATABASE ARCHITECT,FINANCE,56472.0,LOW,Y,53,Spring
C,2022-03-01,2022-04-22,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,SYSTEMS CONSULTING SENIOR ANALYST,IT,74818.0,MEDIUM,Y,52,Spring
C,2022-08-23,2022-09-23,TEXAS SERVICE CENTER,INDIA,53.0,MASTER'S,SENIOR CONSULTANT,OTHER,107744.0,HIGH,Y,31,Summer
CW,2022-06-10,2022-07-10,POTOMAC SERVICE CENTER,CHINA,41.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,N,30,Summer
C,2022-02-24,2022-04-04,TEXAS SERVICE CENTER,CHINA,33.0,MASTER'S,STAFF CONSULTANT,ENGINEERING,67496.0,MEDIUM,N,39,Winter
CW,2022-09-01,2022-09-26,CALIFORNIA SERVICE CENTER,INDIA,48.0,MASTER'S,LABORATORY GEOTECHNICAL ENGINEER,IT,62982.0,MEDIUM,Y,25,Fall
C,2022-11-23,2022-12-13,POTOMAC SERVICE CENTER,CHINA,52.0,BACHELOR'S,SENIOR FIELD ENGINEER,IT,108368.0,HIGH,Y,20,Fall
C,2022-06-06,2022-07-06,NEBRASKA SERVICE CENTER,INDIA,44.0,MASTER'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,Y,30,Summer
C,2022-05-28,2022-07-27,NEBRASKA SERVICE CENTER,INDIA,24.0,MASTER'S,CLOUD SERVICES CONSULTANT,OTHER,107744.0,HIGH,Y,60,Spring
CW,2022-03-10,2022-04-11,TEXAS SERVICE CENTER,INDIA,41.0,BACHELOR'S,STAFF CONSULTANT,IT,58989.0,LOW,N,32,Spring
C,2022-12-03,2022-12-24,TEXAS SERVICE CENTER,INDIA,42.0,MASTER'S,PRINCIPAL SOFTWARE ENGINEER (MEMBER OF TECHNICAL STAFF),IT,105539.0,HIGH,Y,21,Winter
C,2022-12-05,2023-01-01,CALIFORNIA SERVICE CENTER,INDIA,32.0,BACHELOR'S,MARKET RESEARCH ANALYST,ENGINEERING,16.46,LOW,Y,27,Winter
C,2022-02-11,2022-03-20,POTOMAC SERVICE CENTER,CANADA,54.0,MASTER'S,SERVICE ENGINEER,IT,61630.0,MEDIUM,N,37,Winter
C,2022-07-22,2022-09-12,NEBRASKA SERVICE CENTER,CHINA,54.0,BACHELOR'S,MARKET RESEARCH ANALYST,IT,34237.0,LOW,Y,52,Summer
C,2022-11-28,2022-12-18,TEXAS SERVICE CENTER,INDIA,51.0,MASTER'S,GLOBAL SALES OPERATIONS SPECIALIST,ENGINEERING,69056.0,MEDIUM,Y,20,Fall
C,2022-05-05,2022-06-11,POTOMAC SERVICE CENTER,CHINA,41.0,MASTER'S,PROJECT ENGINEER,MEDICAL,75525.0,MEDIUM,Y,37,Spring
C,2022-03-07,2022-04-08,POTOMAC SERVICE CENTER,INDIA,55.0,BACHELOR'S,COMPUTER PROGRAMMER,IT,55390.0,LOW,Y,32,Spring
C,2022-09-12,2022-10-04,CALIFORNIA SERVICE CENTER,CHINA,39.0,MASTER'S,INSTRUCTOR OF TECHNOLOGY,ENGINEERING,33310.0,LOW,Y,22,Fall
C,2022-04-01,2022-05-17,POTOMAC SERVICE CENTER,CHINA,28.0,BACHELOR'S,ASSISTANT PROFESSOR OF COMPUTER SCIENCE,ENGINEERING,44160.0,LOW,Y,46,Spring
C,2022-07-14,2022-07-24,VERMONT SERVICE CENTER,INDIA,23.0,MASTER'S,PROGRAM MANAGER / PROJECT MANAGER,IT,56326.0,LOW,Y,10,Summer
C,2022-10-22,2022-11-19,VERMONT SERVICE CENTER,CHINA,50.0,BACHELOR'S,ASSISTANT PROFESSOR,IT,36800.0,LOW,Y,28,Fall
C,2022-12-13,2023-01-07,NEBRASKA SERVICE CENTER,CHINA,46.0,BACHELOR'S,NETWORK ENGINEER,MEDICAL,34778.0,LOW,Y,25,Winter
C,2022-03-31,2022-04-21,TEXAS SERVICE CENTER,INDIA,56.0,MASTER'S,GENERAL SURGEON,IT,187200.0,HIGH,N,21,Spring
C,2022-08-04,2022-08-16,NEBRASKA SERVICE CENTER,INDIA,47.0,BACHELOR'S,GENERAL MANAGER,IT,85280.0,MEDIUM,Y,12,Summer
W,2022-06-20,2022-07-16,POTOMAC SERVICE CENTER,INDIA,28.0,BACHELOR'S,PROJECT COORDINATOR,IT,28725.0,LOW,N,26,Summer
C,2022-07-03,2022-08-08,NEBRASKA SERVICE CENTER,INDIA,52.0,MASTER'S,SOFTWARE ENGINEER,IT,47174.0,LOW,Y,36,Summer
C,2022-04-08,2022-05-21,TEXAS SERVICE CENTER,CHINA,54.0,MASTER'S,COMPUTER PROGRAMMER/CONFIGURER 2,FINANCE,36442.0,LOW,N,43,Spring
C,2022-02-14,2022-03-22,POTOMAC SERVICE CENTER,PHILIPPINES,32.0,MASTER'S,TECHNICAL ARCHITECT,OTHER,53352.0,LOW,Y,36,Winter
C,2022-09-20,2022-10-14,CALIFORNIA SERVICE CENTER,CANADA,27.0,MASTER'S,PULMONOLOGY/CRITICAL CARE PHYSICIAN,ENGINEERING,200658.0,HIGH,Y,24,Fall
C,2022-09-28,2022-10-17,TEXAS SERVICE CENTER,INDIA,31.0,MASTER'S,COMPUTER PROGRAMMER,ENGINEERING,35090.0,LOW,Y,19,Fall
C,2022-12-10,2023-02-03,VERMONT SERVICE CENTER,INDIA,40.0,MASTER'S,SOFTWARE ENGINEER,IT,47174.0,LOW,Y,55,Winter
C,2022-10-05,2022-10-24,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,TECHNICAL ARCHITECT,EDUCATION,41038.0,LOW,Y,19,Fall
C,2022-02-02,2022-02-12,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,PROGRAM MANAGER/ PROJECT MANAGER,IT,58926.0,LOW,Y,10,Winter
C,2022-12-27,2023-02-21,POTOMAC SERVICE CENTER,INDIA,25.0,MASTER'S,DENTIST,IT,42.95,LOW,Y,56,Winter
C,2022-11-10,2022-11-30,NEBRASKA SERVICE CENTER,INDIA,41.0,MASTER'S,MEDICAL TECHNOLOGIST,IT,18.24,LOW,Y,20,Fall
C,2022-02-17,2022-03-31,POTOMAC SERVICE CENTER,INDIA,56.0,MASTER'S,HEMATOLOGIST/ONCOLOGIST,ENGINEERING,200658.0,HIGH,Y,42,Winter
C,2022-11-10,2022-12-25,TEXAS SERVICE CENTER,CHINA,42.0,MASTER'S,LOGISTICS SPECIALIST,IT,41205.0,LOW,Y,45,Fall
C,2022-09-14,2022-10-01,POTOMAC SERVICE CENTER,CHINA,25.0,MASTER'S,CROP CARE SPECIALIST ADVISOR,IT,14.35,LOW,Y,17,Fall
C,2022-10-31,2022-12-09,CALIFORNIA SERVICE CENTER,CHINA,44.0,BACHELOR'S,FACULTY RESEARCH ASSISTANT,IT,19.21,LOW,N,39,Fall
C,2022-04-22,2022-05-20,NEBRASKA SERVICE CENTER,INDIA,52.0,MASTER'S,JUNIOR JAVA DEVELOPER,IT,52166.0,LOW,N,28,Spring
CW,2022-03-12,2022-04-19,TEXAS SERVICE CENTER,INDIA,30.0,MASTER'S,SR. DEVELOPMENT ENGINEER,IT,111218.0,HIGH,N,38,Spring
C,2022-12-26,2023-01-05,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,DEVELOPMENT ENGINEER,IT,71843.0,MEDIUM,Y,10,Winter
W,2022-06-12,2022-06-23,NEBRASKA SERVICE CENTER,INDIA,41.0,MASTER'S,SENIOR SCIENTIST,IT,62254.0,MEDIUM,Y,11,Summer
C,2022-05-24,2022-07-12,CALIFORNIA SERVICE CENTER,INDIA,38.0,MASTER'S,SENIOR SCIENTIST,IT,62254.0,MEDIUM,Y,49,Spring
C,2022-02-19,2022-03-06,POTOMAC SERVICE CENTER,CANADA,41.0,MASTER'S,ORACLE APPLICATIONS ENGINEER,IT,111218.0,HIGH,Y,15,Winter
C,2022-08-31,2022-10-21,VERMONT SERVICE CENTER,INDIA,45.0,BACHELOR'S,SOFTWARE ENGINEER,IT,52166.0,LOW,Y,51,Summer
CW,2022-06-21,2022-08-10,CALIFORNIA SERVICE CENTER,INDIA,41.0,MASTER'S,BUSINESS INTELLIGENCE ANALYST,IT,87027.0,MEDIUM,Y,50,Summer
C,2022-04-12,2022-05-14,CALIFORNIA SERVICE CENTER,INDIA,52.0,MASTER'S,SR. DEVELOPMENT ENGINEER,IT,111218.0,HIGH,Y,32,Spring
C,2022-04-20,2022-05-23,CALIFORNIA SERVICE CENTER,INDIA,38.0,MASTER'S,ELECTRICAL ENGINEER,IT,81515.0,MEDIUM,Y,33,Spring
C,2022-08-18,2022-09-03,CALIFORNIA SERVICE CENTER,CHINA,52.0,MASTER'S,SOFTWARE ENGINEER,IT,52166.0,LOW,Y,16,Summer
W,2022-06-18,2022-08-03,TEXAS SERVICE CENTER,INDIA,37.0,BACHELOR'S,SENIOR SUPPLY PLANNING ANALYST,OTHER,64043.0,MEDIUM,Y,46,Summer
C,2022-10-16,2022-10-29,TEXAS SERVICE CENTER,INDIA,28.0,MASTER'S,DATABASE SOLUTION SYSTEMS ARCHITECT,ENGINEERING,111218.0,HIGH,Y,13,Fall
C,2022-12-15,2023-01-10,TEXAS SERVICE CENTER,INDIA,46.0,MASTER'S,MECHANICAL ENGINEER,IT,77002.0,MEDIUM,Y,26,Winter
CW,2022-05-05,2022-05-29,TEXAS SERVICE CENTER,CHINA,49.0,MASTER'S,LEAD ORACLE APPLICATIONS DEVELOPER,IT,87027.0,MEDIUM,N,24,Spring
CW,2022-02-08,2022-04-09,VERMONT SERVICE CENTER,CHINA,37.0,DOCTORATE,ORACLE APPLICATIONS DEVELOPER,IT,84906.0,MEDIUM,Y,60,Winter
C,2022-10-20,2022-12-03,VERMONT SERVICE CENTER,INDIA,51.0,BACHELOR'S,PLANT MANAGER,ENGINEERING,118851.0,HIGH,N,44,Fall
CW,2022-05-01,2022-06-20,POTOMAC SERVICE CENTER,INDIA,40.0,BACHELOR'S,DEVOPS MANAGER,IT,111218.0,HIGH,Y,50,Spring
CW,2022-09-15,2022-11-02,VERMONT SERVICE CENTER,INDIA,45.0,BACHELOR'S,SOFTWARE ENGINEER,IT,52166.0,LOW,Y,48,Fall
CW,2022-01-03,2022-02-15,VERMONT SERVICE CENTER,SOUTH KOREA,32.0,BACHELOR'S,PROGRAMMER ANALYST,IT,50211.0,LOW,Y,43,Winter
D,2022-12-18,2023-01-22,NEBRASKA SERVICE CENTER,INDIA,29.0,MASTER'S,ELECTRICAL ENGINEER,IT,81515.0,MEDIUM,Y,35,Winter
C,2022-08-03,2022-09-26,POTOMAC SERVICE CENTER,CHINA,52.0,MASTER'S,ORACLE DATABASE APPLICATION ADMINISTRATOR,OTHER,111218.0,HIGH,Y,54,Summer
C,2022-07-23,2022-09-19,CALIFORNIA SERVICE CENTER,INDIA,53.0,BACHELOR'S,SENIOR SCIENTIST,IT,54413.0,LOW,Y,58,Summer
C,2022-03-11,2022-03-29,POTOMAC SERVICE CENTER,CANADA,54.0,MASTER'S,DATABASE ADMINISTRATOR,IT,54350.0,LOW,Y,18,Spring
C,2022-05-01,2022-06-14,CALIFORNIA SERVICE CENTER,MEXICO,23.0,BACHELOR'S,BIOSTATISTICIAN,IT,50128.0,LOW,Y,44,Spring
C,2022-09-28,2022-11-12,CALIFORNIA SERVICE CENTER,INDIA,43.0,BACHELOR'S,SALESFORCE DEVELOPER,IT,90646.0,MEDIUM,Y,45,Fall
C,2022-03-27,2022-04-18,TEXAS SERVICE CENTER,INDIA,51.0,BACHELOR'S,DIRECTOR OF INFRASTRUCTURE ENGINEERING,ENGINEERING,101566.0,HIGH,Y,22,Spring
C,2022-01-15,2022-02-25,POTOMAC SERVICE CENTER,INDIA,41.0,BACHELOR'S,BUSINESS ANALYST II,ENGINEERING,95160.0,MEDIUM,Y,41,Winter
C,2022-09-09,2022-11-04,NEBRASKA SERVICE CENTER,CHINA,41.0,MASTER'S,TECHNOLOGY ANALYST - US - PROFESSIONAL,ENGINEERING,62754.0,MEDIUM,Y,56,Fall
C,2022-11-13,2022-12-07,POTOMAC SERVICE CENTER,SOUTH KOREA,34.0,MASTER'S,BUSINESS SYSTEM ANALYST,ENGINEERING,78957.0,MEDIUM,Y,24,Fall
C,2022-12-24,2023-01-08,POTOMAC SERVICE CENTER,CHINA,57.0,DOCTORATE,DATA MANAGEMENT ARCHITECT,IT,76586.0,MEDIUM,Y,15,Winter
C,2022-09-29,2022-11-28,POTOMAC SERVICE CENTER,INDIA,39.0,MASTER'S,SOLUTION ARCHITECT,IT,116875.0,HIGH,Y,60,Fall
C,2022-06-02,2022-07-05,POTOMAC SERVICE CENTER,INDIA,54.0,BACHELOR'S,SR. MARKETING SCIENCE ANALYST,IT,80933.0,MEDIUM,Y,33,Summer
C,2022-05-04,2022-06-29,POTOMAC SERVICE CENTER,INDIA,53.0,BACHELOR'S,DEVELOPER,IT,67891.0,MEDIUM,N,56,Spring
C,2022-11-16,2023-01-15,POTOMAC SERVICE CENTER,INDIA,46.0,BACHELOR'S,RISK ANALYST,FINANCE,54538.0,LOW,Y,60,Fall
C,2022-04-23,2022-06-06,VERMONT SERVICE CENTER,INDIA,25.0,BACHELOR'S,ORACLE APPLICATIONS CONSULTANT - II,OTHER,85197.0,MEDIUM,Y,44,Spring
C,2022-06-13,2022-08-03,POTOMAC SERVICE CENTER,INDIA,43.0,MASTER'S,PROGRAMMER ANALYST,MEDICAL,62754.0,MEDIUM,Y,51,Summer
C,2022-10-02,2022-11-05,VERMONT SERVICE CENTER,INDIA,59.0,BACHELOR'S,CREDIT/SALES ANALYST,IT,49358.0,LOW,Y,34,Fall
C,2022-10-06,2022-11-26,POTOMAC SERVICE CENTER,PHILIPPINES,27.0,MASTER'S,JAVA DEVELOPER,EDUCATION,68827.0,MEDIUM,Y,51,Fall
C,2022-10-28,2022-11-07,NEBRASKA SERVICE CENTER,INDIA,48.0,MASTER'S,SAP BI DEVELOPER,IT,85197.0,MEDIUM,Y,10,Fall
C,2022-11-22,2023-01-11,POTOMAC SERVICE CENTER,INDIA,45.0,MASTER'S,LOGISTICS ENGINEER/SUPPLY CHAIN ANALYST,IT,49941.0,LOW,Y,50,Fall
C,2022-02-17,2022-03-23,TEXAS SERVICE CENTER,INDIA,42.0,MASTER'S,AERIAL MAP TECHNICIAN,IT,16.03,LOW,Y,34,Winter
C,2022-09-08,2022-10-04,CALIFORNIA SERVICE CENTER,CHINA,53.0,DOCTORATE,RESOURCING MANAGER,IT,60000.0,MEDIUM,Y,26,Fall
CW,2022-02-06,2022-03-20,VERMONT SERVICE CENTER,INDIA,36.0,BACHELOR'S,IT PROJECT MANAGER AND DELIVERY MANAGER,FINANCE,81515.0,MEDIUM,Y,42,Winter
C,2022-10-03,2022-11-19,POTOMAC SERVICE CENTER,INDIA,31.0,MASTER'S,BI CONSULTANT - II,IT,79498.0,MEDIUM,Y,47,Fall
C,2022-01-18,2022-03-01,CALIFORNIA SERVICE CENTER,CANADA,59.0,BACHELOR'S,SOFTWARE SYSTEMS ANALYST II,IT,78957.0,MEDIUM,Y,42,Winter
C,2022-12-04,2022-12-15,NEBRASKA SERVICE CENTER,CHINA,38.0,MASTER'S,SOFTWARE ARCHITECT ENGINEER II,IT,85197.0,MEDIUM,Y,11,Winter
CW,2022-04-26,2022-06-12,VERMONT SERVICE CENTER,MEXICO,40.0,BACHELOR'S,.NET DEVELOPER,EDUCATION,48.83,LOW,Y,47,Spring
C,2022-05-22,2022-06-27,VERMONT SERVICE CENTER,INDIA,56.0,MASTER'S,SR DEVOPS ENGINEER,IT,90646.0,MEDIUM,Y,36,Spring
C,2022-11-03,2022-12-23,CALIFORNIA SERVICE CENTER,INDIA,41.0,BACHELOR'S,PROGRAMMER ANALYST,IT,62754.0,MEDIUM,Y,50,Fall
C,2022-04-05,2022-05-24,CALIFORNIA SERVICE CENTER,INDIA,30.0,MASTER'S,SOFTWARE DEVELOPER,IT,85197.0,MEDIUM,N,49,Spring
C,2022-05-13,2022-06-02,POTOMAC SERVICE CENTER,CANADA,32.0,BACHELOR'S,PROGRAMMER ANALYST,IT,62858.0,MEDIUM,Y,20,Spring
C,2022-05-24,2022-07-05,POTOMAC SERVICE CENTER,CANADA,47.0,BACHELOR'S,PROJECT MANAGER (ENVIRONMENTAL ENGINEER),IT,79123.0,MEDIUM,Y,42,Spring
C,2022-09-13,2022-11-04,NEBRASKA SERVICE CENTER,INDIA,34.0,BACHELOR'S,BUSINESS SYSTEMS ANALYST,IT,79414.0,MEDIUM,N,52,Fall
C,2022-09-15,2022-10-22,POTOMAC SERVICE CENTER,INDIA,45.0,BACHELOR'S,SENIOR CONSULTANT,OTHER,62754.0,MEDIUM,Y,37,Fall
C,2022-08-09,2022-08-28,TEXAS SERVICE CENTER,INDIA,29.0,BACHELOR'S,BUSINESS DEVELOPMENT MANAGER,IT,98821.0,MEDIUM,Y,19,Summer
C,2022-01-31,2022-02-11,NEBRASKA SERVICE CENTER,CANADA,41.0,MASTER'S,SUPPLY PLANNING MANAGER,FINANCE,74506.0,MEDIUM,Y,11,Winter
