case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position
C,06-06-2022,27-06-2022,CALIFORNIA SERVICE CENTER,INDIA,42,MASTER'S,SR. CONSULTANT,IT,55182,LOW,N
CW,26-06-2022,18-08-2022,NEBRASKA SERVICE CENTER,INDIA,49,BACHELOR'S,PRACTICE MANAGER,IT,122491,HIGH,Y
C,31-01-2022,07-03-2022,NEBRASKA SERVICE CENTER,SOUTH KOREA,47,BACHELOR'S,DATABASE ARCHITECT,ENGINEERING,56472,LOW,Y
C,30-10-2022,26-11-2022,TEXAS SERVICE CENTER,INDIA,43,MASTER'S,SOFTWARE QUALITY ASSURANCE ENGINEER,FINANCE,56472,LOW,Y
C,14-09-2022,01-11-2022,TEXAS SERVICE CENTER,CANADA,58,nan,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",OTHER,88067,MEDIUM,Y
C,15-06-2022,06-08-2022,nan,CHINA,24,MASTER'S,LEAD ANALYST,IT,78603,MEDIUM,Y
CW,18-06-2022,14-08-2022,VERMONT SERVICE CENTER,INDIA,38,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,58989,LOW,Y
C,14-10-2022,23-11-2022,NEBRASKA SERVICE CENTER,CANADA,32,MASTER'S,SENIOR CONSULTANT,IT,55182,LOW,Y
C,08-06-2022,05-08-2022,TEXAS SERVICE CENTER,INDIA,52,MASTER'S,STAFF CONSULTANT,IT,67496,MEDIUM,Y
C,04-08-2022,18-09-2022,POTOMAC SERVICE CENTER,INDIA,56,BACHELOR'S,PRINCIPAL SOFTWARE ENGR (MEMBER OF TECH STAFF),MEDICAL,114774,HIGH,Y
C,26-03-2022,07-05-2022,NEBRASKA SERVICE CENTER,nan,25,BACHELOR'S,COMPUTER PROGRAMMER,IT,67496,MEDIUM,N
C,17-01-2022,16-02-2022,VERMONT SERVICE CENTER,INDIA,35,BACHELOR'S,TEST ENGINEER,IT,56472,LOW,Y
CW,15-04-2022,20-05-2022,TEXAS SERVICE CENTER,CHINA,45,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,Y
C,14-07-2022,10-09-2022,CALIFORNIA SERVICE CENTER,MEXICO,42,BACHELOR'S,"SOFTWARE DEVELOPERS, APPLICATIONS",ENGINEERING,68390,MEDIUM,Y
CW,15-03-2022,04-05-2022,TEXAS SERVICE CENTER,CANADA,48,nan,STAFF CONSULTANT,IT,58989,LOW,Y
C,10-03-2022,24-03-2022,NEBRASKA SERVICE CENTER,CHINA,48,BACHELOR'S,SOLUTIONS ARCHITECT,ENGINEERING,98093,MEDIUM,Y
C,30-01-2022,17-03-2022,VERMONT SERVICE CENTER,INDIA,42,BACHELOR'S,STAFF CONSULTANT,IT,67496,MEDIUM,Y
CW,12-10-2022,14-11-2022,POTOMAC SERVICE CENTER,INDIA,,MASTER'S,SENIOR CONSULTANT,OTHER,68390,MEDIUM,Y
CW,20-01-2022,05-03-2022,nan,INDIA,25,nan,STAFF CONSULTANT,IT,58989,LOW,Y
C,03-10-2022,24-10-2022,TEXAS SERVICE CENTER,INDIA,23,MASTER'S,PRODUCT APPLICATIONS ENGINEER,FINANCE,95826,MEDIUM,Y
CW,,,VERMONT SERVICE CENTER,INDIA,24,MASTER'S,STAFF CONSULTANT,ENGINEERING,63710,MEDIUM,Y
D,09-09-2022,07-11-2022,POTOMAC SERVICE CENTER,INDIA,55,MASTER'S,STAFF CONSULTANT,ENGINEERING,78603,MEDIUM,Y
CW,01-11-2022,17-11-2022,VERMONT SERVICE CENTER,INDIA,56,MASTER'S,SR. CONSULTANT,FINANCE,78603,MEDIUM,Y
C,20-01-2022,19-03-2022,POTOMAC SERVICE CENTER,PHILIPPINES,57,MASTER'S,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",EDUCATION,68390,MEDIUM,Y
W,22-10-2022,27-11-2022,NEBRASKA SERVICE CENTER,INDIA,38,MASTER'S,PRACTICE MANAGER,IT,122491,HIGH,Y
CW,17-07-2022,12-09-2022,VERMONT SERVICE CENTER,INDIA,29,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,Y
C,28-04-2022,22-05-2022,POTOMAC SERVICE CENTER,INDIA,30,BACHELOR'S,BUSINESS SYSTEMS ANALYST,IT,79186,MEDIUM,Y
C,03-11-2022,30-11-2022,VERMONT SERVICE CENTER,INDIA,23,BACHELOR'S,SENIOR CONSULTANT,IT,55182,LOW,Y
C,,,nan,INDIA,40,MASTER'S,SENIOR CONSULTANT,IT,63710,MEDIUM,Y
C,23-12-2022,23-01-2023,CALIFORNIA SERVICE CENTER,INDIA,37,nan,TECHNICAL MANAGER,IT,68390,MEDIUM,Y
CW,24-08-2022,08-09-2022,TEXAS SERVICE CENTER,INDIA,37,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,Y
C,26-04-2022,25-05-2022,TEXAS SERVICE CENTER,CANADA,55,MASTER'S,QUALITY ENGINEER,FINANCE,85426,MEDIUM,Y
C,22-09-2022,08-11-2022,VERMONT SERVICE CENTER,INDIA,42,BACHELOR'S,PRINCIPAL CONSULTANT,ENGINEERING,79186,MEDIUM,Y
CW,06-01-2022,22-02-2022,CALIFORNIA SERVICE CENTER,INDIA,44,MASTER'S,STAFF CONSULTANT,FINANCE,58989,LOW,N
C,25-03-2022,15-05-2022,NEBRASKA SERVICE CENTER,CANADA,37,MASTER'S,STAFF CONSULTANT,FINANCE,63710,MEDIUM,Y
C,25-09-2022,05-11-2022,nan,INDIA,24,MASTER'S,PRACTICE MANAGER,IT,96741,MEDIUM,Y
CW,26-11-2022,25-12-2022,NEBRASKA SERVICE CENTER,INDIA,,nan,STAFF CONSULTANT,IT,58989,LOW,Y
CW,22-02-2022,18-04-2022,POTOMAC SERVICE CENTER,INDIA,42,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,58989,LOW,Y
CW,15-01-2022,14-03-2022,NEBRASKA SERVICE CENTER,INDIA,57,MASTER'S,STAFF CONSULTANT,MEDICAL,58989,LOW,Y
C,,,VERMONT SERVICE CENTER,CHINA,38,MASTER'S,SOFTWARE ENGINEER,MEDICAL,68390,MEDIUM,N
C,28-12-2022,03-02-2023,NEBRASKA SERVICE CENTER,CANADA,37,MASTER'S,STAFF CONSULTANT,IT,67496,MEDIUM,Y
CW,21-01-2022,10-03-2022,POTOMAC SERVICE CENTER,INDIA,35,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,58989,LOW,Y
C,30-06-2022,12-07-2022,NEBRASKA SERVICE CENTER,INDIA,50,BACHELOR'S,INTEGRATION TEST ENGINEER,IT,75650,MEDIUM,Y
C,24-08-2022,10-10-2022,TEXAS SERVICE CENTER,INDIA,57,MASTER'S,PRINCIPAL CONSULTANT,FINANCE,68390,MEDIUM,Y
C,29-06-2022,07-08-2022,TEXAS SERVICE CENTER,INDIA,43,MASTER'S,IT CONSULTANT,IT,68390,MEDIUM,Y
C,07-04-2022,30-05-2022,TEXAS SERVICE CENTER,INDIA,53,MASTER'S,DATABASE ARCHITECT,FINANCE,56472,LOW,Y
C,01-03-2022,22-04-2022,nan,INDIA,,MASTER'S,SYSTEMS CONSULTING SENIOR ANALYST,IT,74818,MEDIUM,Y
C,23-08-2022,23-09-2022,TEXAS SERVICE CENTER,INDIA,53,MASTER'S,SENIOR CONSULTANT,OTHER,107744,HIGH,Y
CW,10-06-2022,10-07-2022,nan,CHINA,,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,N
C,24-02-2022,04-04-2022,TEXAS SERVICE CENTER,CHINA,33,MASTER'S,STAFF CONSULTANT,ENGINEERING,67496,MEDIUM,N
CW,01-09-2022,26-09-2022,CALIFORNIA SERVICE CENTER,INDIA,48,nan,LABORATORY GEOTECHNICAL ENGINEER,IT,62982,MEDIUM,Y
C,23-11-2022,13-12-2022,POTOMAC SERVICE CENTER,CHINA,52,BACHELOR'S,SENIOR FIELD ENGINEER,IT,108368,HIGH,Y
C,06-06-2022,06-07-2022,NEBRASKA SERVICE CENTER,INDIA,44,MASTER'S,STAFF CONSULTANT,IT,63710,MEDIUM,Y
C,,,VERMONT SERVICE CENTER,INDIA,22,MASTER'S,STAFF CONSULTANT,IT,78603,MEDIUM,Y
C,28-05-2022,27-07-2022,NEBRASKA SERVICE CENTER,INDIA,24,nan,CLOUD SERVICES CONSULTANT,OTHER,107744,HIGH,Y
CW,10-03-2022,11-04-2022,TEXAS SERVICE CENTER,nan,,BACHELOR'S,STAFF CONSULTANT,IT,58989,LOW,N
C,03-12-2022,24-12-2022,TEXAS SERVICE CENTER,INDIA,42,MASTER'S,PRINCIPAL SOFTWARE ENGINEER (MEMBER OF TECHNICAL STAFF),IT,105539,HIGH,Y
C,05-12-2022,01-01-2023,CALIFORNIA SERVICE CENTER,INDIA,32,BACHELOR'S,MARKET RESEARCH ANALYST,ENGINEERING,16.46,LOW,Y
C,11-02-2022,20-03-2022,POTOMAC SERVICE CENTER,CANADA,54,MASTER'S,SERVICE ENGINEER,IT,61630,MEDIUM,N
C,22-07-2022,12-09-2022,NEBRASKA SERVICE CENTER,CHINA,54,BACHELOR'S,MARKET RESEARCH ANALYST,IT,34237,LOW,Y
C,28-11-2022,18-12-2022,TEXAS SERVICE CENTER,INDIA,51,MASTER'S,GLOBAL SALES OPERATIONS SPECIALIST,ENGINEERING,69056,MEDIUM,Y
C,05-05-2022,11-06-2022,POTOMAC SERVICE CENTER,CHINA,,MASTER'S,PROJECT ENGINEER,MEDICAL,75525,MEDIUM,Y
C,07-03-2022,08-04-2022,nan,INDIA,55,BACHELOR'S,COMPUTER PROGRAMMER,IT,55390,LOW,Y
C,,,NEBRASKA SERVICE CENTER,INDIA,36,MASTER'S,ASSISTANT PROFESSOR OF MATHEMATICS,IT,42730,LOW,Y
C,12-09-2022,04-10-2022,CALIFORNIA SERVICE CENTER,CHINA,39,nan,INSTRUCTOR OF TECHNOLOGY,ENGINEERING,33310,LOW,Y
C,,,POTOMAC SERVICE CENTER,INDIA,29,MASTER'S,ASSISTANT PROFESSOR OF MARKETING,IT,39580,LOW,Y
C,01-04-2022,17-05-2022,POTOMAC SERVICE CENTER,CHINA,28,BACHELOR'S,ASSISTANT PROFESSOR OF COMPUTER SCIENCE,ENGINEERING,44160,LOW,Y
C,14-07-2022,24-07-2022,VERMONT SERVICE CENTER,INDIA,23,MASTER'S,PROGRAM MANAGER / PROJECT MANAGER,IT,56326,LOW,Y
C,22-10-2022,19-11-2022,VERMONT SERVICE CENTER,CHINA,50,BACHELOR'S,ASSISTANT PROFESSOR,IT,36800,LOW,Y
C,13-12-2022,07-01-2023,NEBRASKA SERVICE CENTER,CHINA,46,BACHELOR'S,NETWORK ENGINEER,MEDICAL,34778,LOW,Y
C,31-03-2022,21-04-2022,TEXAS SERVICE CENTER,INDIA,56,MASTER'S,GENERAL SURGEON,IT,187200,HIGH,N
C,04-08-2022,16-08-2022,NEBRASKA SERVICE CENTER,INDIA,47,BACHELOR'S,GENERAL MANAGER,IT,85280,MEDIUM,Y
W,20-06-2022,16-07-2022,nan,INDIA,28,BACHELOR'S,PROJECT COORDINATOR,IT,28725,LOW,N
C,03-07-2022,08-08-2022,NEBRASKA SERVICE CENTER,INDIA,52,MASTER'S,SOFTWARE ENGINEER,IT,47174,LOW,Y
C,08-04-2022,21-05-2022,TEXAS SERVICE CENTER,CHINA,54,MASTER'S,COMPUTER PROGRAMMER/CONFIGURER 2,FINANCE,36442,LOW,N
C,14-02-2022,22-03-2022,nan,PHILIPPINES,32,MASTER'S,TECHNICAL ARCHITECT,OTHER,53352,LOW,Y
C,20-09-2022,14-10-2022,CALIFORNIA SERVICE CENTER,CANADA,27,MASTER'S,PULMONOLOGY/CRITICAL CARE PHYSICIAN,ENGINEERING,200658,HIGH,Y
C,28-09-2022,17-10-2022,TEXAS SERVICE CENTER,INDIA,31,nan,COMPUTER PROGRAMMER,ENGINEERING,35090,LOW,Y
C,10-12-2022,03-02-2023,VERMONT SERVICE CENTER,INDIA,40,MASTER'S,SOFTWARE ENGINEER,IT,47174,LOW,Y
C,05-10-2022,24-10-2022,POTOMAC SERVICE CENTER,INDIA,41,MASTER'S,TECHNICAL ARCHITECT,EDUCATION,41038,LOW,Y
C,02-02-2022,12-02-2022,nan,INDIA,,MASTER'S,PROGRAM MANAGER/ PROJECT MANAGER,IT,58926,LOW,Y
C,27-12-2022,21-02-2023,nan,INDIA,25,MASTER'S,DENTIST,IT,42.95,LOW,Y
C,10-11-2022,30-11-2022,NEBRASKA SERVICE CENTER,INDIA,,MASTER'S,MEDICAL TECHNOLOGIST,IT,18.24,LOW,Y
C,17-02-2022,31-03-2022,nan,INDIA,56,MASTER'S,HEMATOLOGIST/ONCOLOGIST,ENGINEERING,200658,HIGH,Y
C,,,POTOMAC SERVICE CENTER,INDIA,,BACHELOR'S,NETWORK ENGINEER,IT,61630,MEDIUM,Y
C,10-11-2022,25-12-2022,TEXAS SERVICE CENTER,CHINA,42,MASTER'S,LOGISTICS SPECIALIST,IT,41205,LOW,Y
C,14-09-2022,01-10-2022,POTOMAC SERVICE CENTER,CHINA,25,MASTER'S,CROP CARE SPECIALIST ADVISOR,IT,14.35,LOW,Y
C,31-10-2022,09-12-2022,CALIFORNIA SERVICE CENTER,CHINA,44,BACHELOR'S,FACULTY RESEARCH ASSISTANT,IT,19.21,LOW,N
C,22-04-2022,20-05-2022,NEBRASKA SERVICE CENTER,INDIA,52,MASTER'S,JUNIOR JAVA DEVELOPER,IT,52166,LOW,N
CW,12-03-2022,19-04-2022,TEXAS SERVICE CENTER,nan,30,MASTER'S,SR. DEVELOPMENT ENGINEER,IT,111218,HIGH,N
C,26-12-2022,05-01-2023,POTOMAC SERVICE CENTER,INDIA,41,MASTER'S,DEVELOPMENT ENGINEER,IT,71843,MEDIUM,Y
W,12-06-2022,23-06-2022,NEBRASKA SERVICE CENTER,INDIA,,MASTER'S,SENIOR SCIENTIST,IT,62254,MEDIUM,Y
C,24-05-2022,12-07-2022,CALIFORNIA SERVICE CENTER,nan,38,MASTER'S,SENIOR SCIENTIST,IT,62254,MEDIUM,Y
C,19-02-2022,06-03-2022,nan,CANADA,,nan,ORACLE APPLICATIONS ENGINEER,IT,111218,HIGH,Y
C,31-08-2022,21-10-2022,VERMONT SERVICE CENTER,INDIA,45,BACHELOR'S,SOFTWARE ENGINEER,IT,52166,LOW,Y
CW,21-06-2022,10-08-2022,CALIFORNIA SERVICE CENTER,INDIA,,MASTER'S,BUSINESS INTELLIGENCE ANALYST,IT,87027,MEDIUM,Y
C,12-04-2022,14-05-2022,CALIFORNIA SERVICE CENTER,INDIA,52,MASTER'S,SR. DEVELOPMENT ENGINEER,IT,111218,HIGH,Y
C,20-04-2022,23-05-2022,CALIFORNIA SERVICE CENTER,INDIA,38,MASTER'S,ELECTRICAL ENGINEER,IT,81515,MEDIUM,Y
C,18-08-2022,03-09-2022,CALIFORNIA SERVICE CENTER,CHINA,52,MASTER'S,SOFTWARE ENGINEER,IT,52166,LOW,Y
W,18-06-2022,03-08-2022,TEXAS SERVICE CENTER,INDIA,37,BACHELOR'S,SENIOR SUPPLY PLANNING ANALYST,OTHER,64043,MEDIUM,Y
C,16-10-2022,29-10-2022,TEXAS SERVICE CENTER,INDIA,28,MASTER'S,DATABASE SOLUTION SYSTEMS ARCHITECT,ENGINEERING,111218,HIGH,Y
C,15-12-2022,10-01-2023,TEXAS SERVICE CENTER,INDIA,46,MASTER'S,MECHANICAL ENGINEER,IT,77002,MEDIUM,Y
CW,05-05-2022,29-05-2022,TEXAS SERVICE CENTER,CHINA,49,MASTER'S,LEAD ORACLE APPLICATIONS DEVELOPER,IT,87027,MEDIUM,N
CW,08-02-2022,09-04-2022,VERMONT SERVICE CENTER,CHINA,37,DOCTORATE,ORACLE APPLICATIONS DEVELOPER,IT,84906,MEDIUM,Y
C,20-10-2022,03-12-2022,VERMONT SERVICE CENTER,INDIA,51,BACHELOR'S,PLANT MANAGER,ENGINEERING,118851,HIGH,N
CW,01-05-2022,20-06-2022,POTOMAC SERVICE CENTER,INDIA,40,BACHELOR'S,DEVOPS MANAGER,IT,111218,HIGH,Y
CW,15-09-2022,02-11-2022,VERMONT SERVICE CENTER,INDIA,45,BACHELOR'S,SOFTWARE ENGINEER,IT,52166,LOW,Y
CW,03-01-2022,15-02-2022,VERMONT SERVICE CENTER,SOUTH KOREA,32,BACHELOR'S,PROGRAMMER ANALYST,IT,50211,LOW,Y
D,18-12-2022,22-01-2023,NEBRASKA SERVICE CENTER,nan,29,MASTER'S,ELECTRICAL ENGINEER,IT,81515,MEDIUM,Y
C,03-08-2022,26-09-2022,POTOMAC SERVICE CENTER,CHINA,52,MASTER'S,ORACLE DATABASE APPLICATION ADMINISTRATOR,OTHER,111218,HIGH,Y
C,23-07-2022,19-09-2022,CALIFORNIA SERVICE CENTER,INDIA,53,BACHELOR'S,SENIOR SCIENTIST,IT,54413,LOW,Y
CW,,,POTOMAC SERVICE CENTER,CHINA,26,MASTER'S,ETL/INFORMATICA DEVELOPER,IT,50856,LOW,Y
C,11-03-2022,29-03-2022,POTOMAC SERVICE CENTER,CANADA,54,MASTER'S,DATABASE ADMINISTRATOR,IT,54350,LOW,Y
C,01-05-2022,14-06-2022,CALIFORNIA SERVICE CENTER,MEXICO,23,BACHELOR'S,BIOSTATISTICIAN,IT,50128,LOW,Y
C,28-09-2022,12-11-2022,CALIFORNIA SERVICE CENTER,INDIA,43,BACHELOR'S,SALESFORCE DEVELOPER,IT,90646,MEDIUM,Y
C,27-03-2022,18-04-2022,TEXAS SERVICE CENTER,INDIA,51,BACHELOR'S,DIRECTOR OF INFRASTRUCTURE ENGINEERING,ENGINEERING,101566,HIGH,Y
C,15-01-2022,25-02-2022,POTOMAC SERVICE CENTER,INDIA,,BACHELOR'S,BUSINESS ANALYST II,ENGINEERING,95160,MEDIUM,Y
C,09-09-2022,04-11-2022,NEBRASKA SERVICE CENTER,CHINA,,MASTER'S,TECHNOLOGY ANALYST - US - PROFESSIONAL,ENGINEERING,62754,MEDIUM,Y
C,13-11-2022,07-12-2022,nan,SOUTH KOREA,34,MASTER'S,BUSINESS SYSTEM ANALYST,ENGINEERING,78957,MEDIUM,Y
C,24-12-2022,08-01-2023,nan,CHINA,57,DOCTORATE,DATA MANAGEMENT ARCHITECT,IT,76586,MEDIUM,Y
C,29-09-2022,28-11-2022,POTOMAC SERVICE CENTER,INDIA,39,nan,SOLUTION ARCHITECT,IT,116875,HIGH,Y
C,02-06-2022,05-07-2022,nan,INDIA,54,BACHELOR'S,SR. MARKETING SCIENCE ANALYST,IT,80933,MEDIUM,Y
C,04-05-2022,29-06-2022,nan,INDIA,53,BACHELOR'S,DEVELOPER,IT,67891,MEDIUM,N
C,16-11-2022,15-01-2023,POTOMAC SERVICE CENTER,INDIA,46,BACHELOR'S,RISK ANALYST,FINANCE,54538,LOW,Y
C,23-04-2022,06-06-2022,VERMONT SERVICE CENTER,INDIA,25,BACHELOR'S,ORACLE APPLICATIONS CONSULTANT - II,OTHER,85197,MEDIUM,Y
C,13-06-2022,03-08-2022,POTOMAC SERVICE CENTER,INDIA,43,MASTER'S,PROGRAMMER ANALYST,MEDICAL,62754,MEDIUM,Y
C,02-10-2022,05-11-2022,VERMONT SERVICE CENTER,nan,59,BACHELOR'S,CREDIT/SALES ANALYST,IT,49358,LOW,Y
C,06-10-2022,26-11-2022,POTOMAC SERVICE CENTER,PHILIPPINES,27,MASTER'S,JAVA DEVELOPER,EDUCATION,68827,MEDIUM,Y
C,28-10-2022,07-11-2022,NEBRASKA SERVICE CENTER,INDIA,48,MASTER'S,SAP BI DEVELOPER,IT,85197,MEDIUM,Y
C,22-11-2022,11-01-2023,POTOMAC SERVICE CENTER,INDIA,45,MASTER'S,LOGISTICS ENGINEER/SUPPLY CHAIN ANALYST,IT,49941,LOW,Y
C,,,NEBRASKA SERVICE CENTER,INDIA,49,BACHELOR'S,BUSINESS DEVELOPMENT SPECIALIST,ENGINEERING,63939,MEDIUM,Y
C,,,TEXAS SERVICE CENTER,INDIA,40,MASTER'S,DOMAIN CONSULTANT-L4,IT,91395,MEDIUM,N
C,17-02-2022,23-03-2022,TEXAS SERVICE CENTER,INDIA,42,MASTER'S,AERIAL MAP TECHNICIAN,IT,16.03,LOW,Y
C,08-09-2022,04-10-2022,CALIFORNIA SERVICE CENTER,CHINA,53,DOCTORATE,RESOURCING MANAGER,IT,60000,MEDIUM,Y
CW,06-02-2022,20-03-2022,VERMONT SERVICE CENTER,INDIA,36,BACHELOR'S,IT PROJECT MANAGER AND DELIVERY MANAGER,FINANCE,81515,MEDIUM,Y
C,03-10-2022,19-11-2022,POTOMAC SERVICE CENTER,INDIA,31,MASTER'S,BI CONSULTANT - II,IT,79498,MEDIUM,Y
C,18-01-2022,01-03-2022,CALIFORNIA SERVICE CENTER,CANADA,59,BACHELOR'S,SOFTWARE SYSTEMS ANALYST II,IT,78957,MEDIUM,Y
C,,,NEBRASKA SERVICE CENTER,INDIA,24,nan,AVP; LEAD CONSULTANT - TECH APPLICATIONS ENGINEERING,IT,101566,HIGH,Y
C,04-12-2022,15-12-2022,NEBRASKA SERVICE CENTER,CHINA,38,MASTER'S,SOFTWARE ARCHITECT ENGINEER II,IT,85197,MEDIUM,Y
CW,26-04-2022,12-06-2022,VERMONT SERVICE CENTER,MEXICO,40,BACHELOR'S,.NET DEVELOPER,EDUCATION,48.83,LOW,Y
C,22-05-2022,27-06-2022,VERMONT SERVICE CENTER,INDIA,56,MASTER'S,SR DEVOPS ENGINEER,IT,90646,MEDIUM,Y
C,,,VERMONT SERVICE CENTER,INDIA,24,BACHELOR'S,DOT NET DEVELOPER,OTHER,46301,LOW,Y
C,03-11-2022,23-12-2022,CALIFORNIA SERVICE CENTER,INDIA,,BACHELOR'S,PROGRAMMER ANALYST,IT,62754,MEDIUM,Y
C,05-04-2022,24-05-2022,CALIFORNIA SERVICE CENTER,INDIA,30,MASTER'S,SOFTWARE DEVELOPER,IT,85197,MEDIUM,N
C,13-05-2022,02-06-2022,nan,CANADA,32,BACHELOR'S,PROGRAMMER ANALYST,IT,62858,MEDIUM,Y
C,24-05-2022,05-07-2022,POTOMAC SERVICE CENTER,CANADA,47,BACHELOR'S,PROJECT MANAGER (ENVIRONMENTAL ENGINEER),IT,79123,MEDIUM,Y
C,13-09-2022,04-11-2022,NEBRASKA SERVICE CENTER,INDIA,34,BACHELOR'S,BUSINESS SYSTEMS ANALYST,IT,79414,MEDIUM,N
C,15-09-2022,22-10-2022,POTOMAC SERVICE CENTER,INDIA,45,BACHELOR'S,SENIOR CONSULTANT,OTHER,62754,MEDIUM,Y
C,09-08-2022,28-08-2022,TEXAS SERVICE CENTER,INDIA,29,BACHELOR'S,BUSINESS DEVELOPMENT MANAGER,IT,98821,MEDIUM,Y
C,31-01-2022,11-02-2022,NEBRASKA SERVICE CENTER,CANADA,,MASTER'S,SUPPLY PLANNING MANAGER,FINANCE,74506,MEDIUM,Y
C,16-03-2022,23-04-2022,POTOMAC SERVICE CENTER,INDIA,29,MASTER'S,APPLICATIONS DEVELOPER - I,ENGINEERING,68827,MEDIUM,Y
C,05-03-2022,04-04-2022,POTOMAC SERVICE CENTER,SOUTH KOREA,47,MASTER'S,VICE PRESIDENT,IT,103854,HIGH,Y
C,05-01-2022,05-02-2022,POTOMAC SERVICE CENTER,INDIA,59,DOCTORATE,PROGRAMMER ANALYST,ENGINEERING,46301,LOW,Y
C,10-08-2022,15-09-2022,nan,INDIA,45,BACHELOR'S,"VICE PRESIDENT, TECH MANAGER - APPS PROG",IT,95160,MEDIUM,Y
C,27-12-2022,19-01-2023,TEXAS SERVICE CENTER,nan,49,MASTER'S,MICROSOFT BI - II,ENGINEERING,79498,MEDIUM,Y
CW,13-06-2022,20-07-2022,nan,INDIA,,MASTER'S,ORACLE DATABASE DEVELOPER,IT,90646,MEDIUM,N
C,05-04-2022,11-05-2022,POTOMAC SERVICE CENTER,INDIA,53,BACHELOR'S,ARCHITECT,IT,90646,MEDIUM,Y
CW,13-09-2022,05-10-2022,TEXAS SERVICE CENTER,INDIA,33,nan,PROGRAMMER ANALYST,ENGINEERING,46301,LOW,Y
CW,10-10-2022,05-11-2022,VERMONT SERVICE CENTER,INDIA,44,MASTER'S,TECHNICAL LEAD,ENGINEERING,96678,MEDIUM,Y
C,15-06-2022,27-06-2022,TEXAS SERVICE CENTER,INDIA,54,MASTER'S,JAVA DEVELOPER - I,MEDICAL,68827,MEDIUM,N
C,29-09-2022,15-10-2022,TEXAS SERVICE CENTER,INDIA,53,BACHELOR'S,PEGA ARCHITECT,ENGINEERING,64938,MEDIUM,Y
C,17-12-2022,30-01-2023,VERMONT SERVICE CENTER,INDIA,40,MASTER'S,BUSINESS ANALYST - I,OTHER,62754,MEDIUM,Y
C,31-08-2022,13-10-2022,NEBRASKA SERVICE CENTER,INDIA,25,BACHELOR'S,PEGA ARCHITECT,FINANCE,64938,MEDIUM,Y
C,,,TEXAS SERVICE CENTER,INDIA,29,BACHELOR'S,PROGRAMMER ANALYST,ENGINEERING,62754,MEDIUM,Y
CW,29-05-2022,15-06-2022,nan,INDIA,,DOCTORATE,IT PROJECT MANAGER AND DELIVERY MANAGER,IT,81515,MEDIUM,Y
C,10-03-2022,21-03-2022,POTOMAC SERVICE CENTER,INDIA,25,BACHELOR'S,DEVELOPER,IT,67891,MEDIUM,Y
C,05-10-2022,05-11-2022,POTOMAC SERVICE CENTER,INDIA,41,MASTER'S,ASSOCIATE SPECIALIST-TECHNOLOGY/SOFTWARE DEVELOPER,OTHER,101566,HIGH,N
C,26-08-2022,05-10-2022,nan,nan,55,BACHELOR'S,"ENGINEER II, RM & CM",FINANCE,87651,MEDIUM,Y
C,05-04-2022,22-04-2022,POTOMAC SERVICE CENTER,INDIA,24,MASTER'S,SOLUTION ARCHITECT,EDUCATION,101566,HIGH,Y
C,24-02-2022,08-04-2022,CALIFORNIA SERVICE CENTER,INDIA,,BACHELOR'S,LEAD-QUALITY CONTROL/QUALITY ASSURANCE ANALYST,ENGINEERING,76586,MEDIUM,Y
C,02-03-2022,23-03-2022,nan,INDIA,47,MASTER'S,SOFTWARE DEVELOPER,EDUCATION,68827,MEDIUM,Y
C,10-07-2022,05-08-2022,NEBRASKA SERVICE CENTER,INDIA,26,nan,TECHNICAL SALES SUPPORT SPECIALIST,IT,93683,MEDIUM,Y
C,29-01-2022,18-03-2022,NEBRASKA SERVICE CENTER,INDIA,32,MASTER'S,DATA SCIENTIST,EDUCATION,49088,LOW,Y
C,,,POTOMAC SERVICE CENTER,CHINA,49,BACHELOR'S,SOFTWARE ENGINEER,FINANCE,68827,MEDIUM,Y
W,17-05-2022,03-07-2022,CALIFORNIA SERVICE CENTER,MEXICO,44,MASTER'S,SENIOR HADOOP ADMINISTRATOR,IT,86819,MEDIUM,N
C,,,VERMONT SERVICE CENTER,MEXICO,47,BACHELOR'S,DATA WAREHOUSING SPECIALIST,IT,79498,MEDIUM,N
C,23-01-2022,08-03-2022,nan,CHINA,55,MASTER'S,TECHNICAL SALES SUPPORT SPECIALIST,IT,71386,MEDIUM,Y
C,17-05-2022,30-05-2022,TEXAS SERVICE CENTER,INDIA,31,MASTER'S,DEVELOPER II,MEDICAL,90646,MEDIUM,Y
C,13-07-2022,05-08-2022,CALIFORNIA SERVICE CENTER,INDIA,38,nan,SENIOR SOFTWARE DEVELOPER,IT,85197,MEDIUM,Y
C,15-09-2022,11-10-2022,POTOMAC SERVICE CENTER,INDIA,,nan,ACCOUNTING ANALYST,ENGINEERING,47715,LOW,Y
C,10-09-2022,02-10-2022,POTOMAC SERVICE CENTER,SOUTH KOREA,53,DOCTORATE,MANAGER,OTHER,101566,HIGH,Y
